,WETH,BAT,DAI,LINK,YFI,WBTC,AAVE,USDC,TUSD,UNI,ENJ,CRV,MKR,REN,SNX,KNC,xSUSHI,MANA,BAL,ZRX,DPI,stETH,ENS,CVX,USDT,GUSD,BUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FEI,FRAX,LUSD,1INCH
MKR,"0.77, 41, 53","1.0, 19, 19","1.0, 13, 13","1.0, 60, 60","0.0, 0, 22","0.0, 0, 74","1.0, 43, 43","1.0, 12, 12",0.0,"1.0, 44, 44","1.0, 41, 41","1.0, 30, 30",0.0,"1.0, 41, 41","1.0, 30, 30","1.0, 16, 16","1.0, 27, 27","1.0, 31, 31","1.0, 33, 33","1.0, 32, 32","1.0, 4, 4","0.0, 0, 2","1.0, 1, 1",0.0,"1.0, 1, 1","1.0, 1, 1",0.0,0.0,0.0,"1.0, 4, 4","1.0, 2, 2",0.0,0.0,0.0,0.0,0.0,0.0
REN,"0.0, 1, 433","0.14, 2, 14","0.0, 0, 3","0.0, 0, 244","0.0, 0, 29","0.0, 0, 111","0.0, 0, 84","0.33, 1, 3",0.0,"0.02, 1, 62","0.05, 2, 40","0.0, 0, 36","0.0, 0, 41",0.0,"0.0, 0, 27","0.07, 2, 29","0.0, 0, 18","0.0, 0, 33","0.08, 2, 25","0.1, 1, 10","0.0, 0, 1","0.0, 0, 4","0.0, 0, 1",0.0,0.0,"1.0, 3, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNX,"0.0, 0, 571","0.94, 17, 18","1.0, 5, 5","0.02, 1, 54","0.0, 0, 32","0.0, 0, 91","0.0, 0, 88","1.0, 6, 6",0.0,"0.04, 1, 28","0.94, 16, 17","0.82, 9, 11","0.0, 0, 30","1.0, 27, 27",0.0,"0.67, 4, 6","0.75, 6, 8","1.0, 18, 18","0.12, 3, 24","1.0, 10, 10","0.0, 0, 1","0.0, 0, 13","0.0, 0, 1","0.0, 0, 1","1.0, 1, 1",0.0,"1.0, 1, 1",0.0,0.0,"1.0, 1, 1",0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0
KNC,"0.0, 1, 255","1.0, 5, 5","1.0, 1, 1","0.02, 1, 48","0.0, 0, 3","0.0, 0, 53","0.03, 1, 34","1.0, 4, 4",0.0,"0.05, 1, 21","1.0, 10, 10","0.17, 1, 6","0.0, 0, 16","0.93, 27, 29","0.33, 2, 6",0.0,"0.18, 2, 11","0.5, 8, 16","0.07, 1, 14","1.0, 21, 21","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xSUSHI,"0.0, 0, 345","1.0, 5, 5","1.0, 1, 1","0.14, 6, 44","0.0, 0, 33","0.0, 0, 100","0.0, 0, 51","1.0, 3, 3","1.0, 1, 1","0.14, 4, 28","1.0, 7, 7","0.89, 8, 9","0.0, 0, 27","1.0, 18, 18","0.25, 2, 8","0.82, 9, 11",0.0,"1.0, 11, 11","0.17, 1, 6","1.0, 17, 17","0.0, 0, 3","0.0, 0, 2","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANA,"0.0, 0, 491","0.95, 19, 20","0.0, 0, 1","0.01, 1, 111","0.0, 0, 13","0.0, 0, 100","0.0, 0, 73","0.67, 6, 9",0.0,"0.0, 0, 37","0.48, 25, 52","0.13, 4, 31","0.0, 0, 31","1.0, 33, 33","0.0, 0, 18","0.5, 8, 16","0.0, 0, 11",0.0,"0.0, 0, 17","0.93, 13, 14","0.0, 0, 3","0.0, 0, 4","0.0, 0, 2","0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,"1.0, 2, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAL,"0.0, 0, 363","1.0, 10, 10",0.0,"0.62, 8, 13","0.0, 0, 15","0.0, 0, 88","0.0, 0, 47","1.0, 4, 4",0.0,"0.33, 2, 6","1.0, 13, 13","1.0, 18, 18","0.0, 0, 33","0.92, 23, 25","0.88, 21, 24","0.93, 13, 14","0.83, 5, 6","1.0, 17, 17",0.0,"1.0, 16, 16","0.0, 0, 1","0.0, 0, 13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZRX,"0.0, 0, 265","1.0, 2, 2","0.0, 0, 2","0.01, 1, 68","0.0, 0, 15","0.0, 0, 67","0.0, 0, 34","0.0, 0, 5",0.0,"0.03, 1, 36","0.19, 3, 16","0.0, 0, 19","0.0, 0, 32","0.9, 9, 10","0.0, 0, 10","0.0, 0, 21","0.0, 0, 17","0.07, 1, 14","0.0, 0, 16",0.0,0.0,"0.0, 0, 5",0.0,0.0,0.0,0.0,0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPI,"0.0, 0, 96","1.0, 1, 1",0.0,"1.0, 5, 5","0.0, 0, 1","0.0, 0, 19","1.0, 1, 1","1.0, 2, 2",0.0,"1.0, 1, 1","1.0, 1, 1","1.0, 3, 3","0.0, 0, 4","1.0, 1, 1","1.0, 1, 1","1.0, 1, 1","1.0, 3, 3","1.0, 3, 3","1.0, 1, 1",0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stETH,"0.85, 39, 46","1.0, 3, 3","1.0, 25, 25","1.0, 17, 17","0.0, 0, 1","0.0, 0, 35","1.0, 9, 9","1.0, 11, 11",0.0,"1.0, 7, 7","1.0, 2, 2","1.0, 13, 13","1.0, 2, 2","1.0, 4, 4","1.0, 13, 13",0.0,"1.0, 2, 2","1.0, 4, 4","1.0, 13, 13","1.0, 5, 5","1.0, 1, 1",0.0,"1.0, 1, 1",0.0,"1.0, 4, 4",0.0,0.0,0.0,0.0,"1.0, 2, 2",0.0,0.0,0.0,"1.0, 1, 1",0.0,"1.0, 3, 3",0.0
