,WETH,BAT,DAI,LINK,YFI,WBTC,AAVE,USDC,TUSD,UNI,ENJ,CRV,MKR,REN,SNX,KNC,xSUSHI,MANA,BAL,ZRX,DPI,stETH,ENS,CVX,USDT,GUSD,BUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FEI,FRAX,LUSD,1INCH
WETH,0.0,1.0,1.0,1.0,0.0,0.02,0.98,1.0,1.0,1.0,1.0,1.0,0.23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BAT,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.06,0.0,0.0,0.86,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAI,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.38,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
LINK,0.0,0.99,0.99,0.0,0.0,0.0,0.01,1.0,1.0,0.6,0.99,0.99,0.0,1.0,0.98,0.98,0.86,0.99,0.38,0.99,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
YFI,1.0,1.0,1.0,1.0,0.0,0.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBTC,0.98,1.0,1.0,1.0,0.62,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
AAVE,0.02,1.0,1.0,0.99,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
USDC,0.0,0.71,0.62,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.5,0.0,0.0,0.67,0.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI,0.0,1.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.98,0.96,0.95,0.86,1.0,0.67,0.97,0.0,0.0,0.14,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ENJ,0.0,0.94,0.5,0.01,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.03,0.0,0.95,0.06,0.0,0.0,0.52,0.0,0.81,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
