,WETH,BAT,USDC,LINK,REN,DAI,YFI,WBTC,TUSD,UNI,CRV,AAVE,ENJ,BAL,MANA,SNX,MKR,KNC,xSUSHI,ZRX,DPI,stETH,ENS,FEI,1INCH,CVX,USDT,BUSD,GUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FRAX,LUSD
WETH,0.0,"0.85, 460, 540","0.77, 942, 1228","0.68, 2354, 3473","0.82, 486, 595","0.85, 671, 788","0.82, 537, 654","0.66, 2761, 4199","0.93, 145, 156","0.81, 1204, 1484","0.85, 750, 886","0.79, 1237, 1568","0.75, 556, 741","0.89, 403, 454","0.76, 579, 758","0.89, 692, 776","0.85, 542, 634","0.84, 270, 322","0.87, 570, 657","0.87, 276, 317","0.88, 162, 184","0.47, 136, 292","0.71, 58, 82","0.8, 4, 5","0.69, 9, 13","0.56, 5, 9","1.0, 365, 365","1.0, 26, 26","1.0, 50, 50","1.0, 37, 37","1.0, 3, 3","1.0, 65, 65","1.0, 5, 5","1.0, 1, 1","1.0, 2, 2","1.0, 2, 2","1.0, 3, 3"
BAT,"0.15, 80, 540",0.0,"0.41, 14, 34","0.28, 64, 229","0.52, 29, 56","0.61, 11, 18","0.39, 11, 28","0.21, 26, 121","1.0, 3, 3","0.35, 35, 100","0.41, 22, 54","0.48, 41, 86","0.45, 37, 83","0.56, 19, 34","0.36, 36, 101","0.5, 24, 48","0.4, 17, 43","0.5, 16, 32","0.46, 6, 13","0.53, 18, 34","0.6, 3, 5","0.25, 1, 4","0.4, 4, 10",0.0,0.0,"1.0, 1, 1","1.0, 4, 4",0.0,0.0,0.0,0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0
USDC,"0.23, 286, 1228","0.59, 20, 34",0.0,"0.35, 115, 330","0.39, 16, 41","0.66, 99, 149","0.53, 16, 30","0.29, 91, 311","0.73, 27, 37","0.66, 49, 74","0.67, 33, 49","0.52, 68, 131","0.65, 13, 20","0.79, 27, 34","0.49, 37, 75","0.82, 41, 50","0.59, 26, 44","0.59, 13, 22","0.65, 17, 26","0.73, 32, 44","0.43, 3, 7","0.3, 9, 30","0.5, 3, 6",0.0,0.0,"0.0, 0, 1","1.0, 38, 38","1.0, 12, 12","1.0, 2, 2","1.0, 8, 8",0.0,"1.0, 31, 31","1.0, 1, 1",0.0,"1.0, 1, 1",0.0,"1.0, 3, 3"
LINK,"0.32, 1119, 3473","0.72, 165, 229","0.65, 215, 330",0.0,"0.73, 269, 366","0.81, 162, 201","0.75, 215, 287","0.41, 377, 915","0.92, 69, 75","0.64, 303, 474","0.64, 134, 211","0.68, 462, 675","0.63, 174, 276","0.8, 131, 164","0.64, 161, 253","0.79, 170, 216","0.7, 160, 227","0.68, 83, 122","0.71, 127, 178","0.65, 88, 136","0.7, 14, 20","0.14, 3, 22","0.7, 16, 23",0.0,"0.91, 10, 11","1.0, 3, 3","1.0, 90, 90","1.0, 18, 18","1.0, 5, 5","1.0, 9, 9",0.0,"1.0, 10, 10","1.0, 5, 5","1.0, 1, 1",0.0,0.0,0.0
REN,"0.18, 109, 595","0.48, 27, 56","0.61, 25, 41","0.27, 97, 366",0.0,"0.76, 28, 37","0.6, 47, 78","0.34, 61, 177","1.0, 4, 4","0.31, 34, 108","0.36, 26, 73","0.36, 50, 137","0.38, 41, 108","0.52, 27, 52","0.27, 25, 92","0.48, 29, 60","0.47, 38, 80","0.4, 21, 52","0.61, 31, 51","0.56, 24, 43","0.67, 2, 3","0.0, 0, 4","0.5, 1, 2",0.0,0.0,0.0,"1.0, 4, 4",0.0,"1.0, 13, 13","1.0, 1, 1","1.0, 1, 1","1.0, 2, 2",0.0,"1.0, 1, 1",0.0,0.0,0.0
DAI,"0.15, 117, 788","0.39, 7, 18","0.34, 50, 149","0.19, 39, 201","0.24, 9, 37",0.0,"0.26, 7, 27","0.19, 46, 247","0.38, 5, 13","0.53, 21, 40","0.27, 8, 30","0.29, 17, 59","0.56, 15, 27","0.67, 6, 9","0.09, 4, 43","0.5, 11, 22","0.36, 9, 25","0.0, 0, 3","0.38, 3, 8","0.56, 5, 9","1.0, 1, 1","0.17, 5, 30","0.43, 3, 7",0.0,0.0,0.0,"1.0, 27, 27","1.0, 5, 5","1.0, 3, 3",0.0,0.0,"1.0, 1, 1","1.0, 3, 3",0.0,"1.0, 3, 3",0.0,0.0
YFI,"0.18, 117, 654","0.61, 17, 28","0.47, 14, 30","0.25, 72, 287","0.4, 31, 78","0.74, 20, 27",0.0,"0.35, 83, 240","1.0, 2, 2","0.48, 35, 73","0.52, 33, 64","0.43, 60, 138","0.46, 17, 37","0.59, 16, 27","0.41, 14, 34","0.67, 32, 48","0.43, 30, 69","0.45, 5, 11","0.65, 37, 57","0.7, 16, 23","0.14, 1, 7","0.14, 1, 7","0.25, 1, 4",0.0,0.0,0.0,"1.0, 7, 7","1.0, 3, 3","1.0, 3, 3","1.0, 1, 1",0.0,"1.0, 3, 3",0.0,0.0,0.0,0.0,0.0
WBTC,"0.34, 1438, 4199","0.79, 95, 121","0.71, 220, 311","0.59, 538, 915","0.66, 116, 177","0.81, 201, 247","0.65, 157, 240",0.0,"0.86, 48, 56","0.74, 262, 353","0.7, 111, 159","0.71, 319, 451","0.66, 105, 158","0.82, 89, 109","0.56, 109, 194","0.84, 97, 116","0.8, 144, 181","0.65, 54, 83","0.78, 107, 138","0.83, 68, 82","0.69, 20, 29","0.43, 39, 90","0.79, 15, 19",0.0,"0.5, 1, 2","0.5, 2, 4","1.0, 49, 49","1.0, 7, 7","1.0, 20, 20","1.0, 11, 11","1.0, 9, 9","1.0, 13, 13",0.0,0.0,"1.0, 1, 1","1.0, 1, 1","1.0, 4, 4"
TUSD,"0.07, 11, 156","0.0, 0, 3","0.27, 10, 37","0.08, 6, 75","0.0, 0, 4","0.62, 8, 13","0.0, 0, 2","0.14, 8, 56",0.0,"0.0, 0, 6","0.67, 2, 3","0.07, 1, 14","0.0, 0, 3","0.0, 0, 2","0.07, 1, 14","0.0, 0, 1","0.0, 0, 1","0.57, 4, 7","0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 4, 4",0.0,"1.0, 2, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI,"0.19, 280, 1484","0.65, 65, 100","0.34, 25, 74","0.36, 171, 474","0.69, 74, 108","0.47, 19, 40","0.52, 38, 73","0.26, 91, 353","1.0, 6, 6",0.0,"0.5, 53, 105","0.47, 121, 258","0.42, 75, 177","0.74, 56, 76","0.38, 49, 130","0.68, 73, 107","0.49, 56, 115","0.59, 36, 61","0.57, 55, 96","0.64, 43, 67","0.5, 4, 8","0.38, 5, 13","0.5, 10, 20",0.0,"0.4, 2, 5","0.5, 1, 2","1.0, 13, 13",0.0,"1.0, 1, 1","1.0, 7, 7","1.0, 1, 1","1.0, 8, 8","1.0, 1, 1","1.0, 3, 3",0.0,0.0,0.0
