,WETH,BAT,USDC,LINK,REN,DAI,YFI,WBTC,TUSD,UNI,CRV,AAVE,ENJ,BAL,MANA,SNX,MKR,KNC,xSUSHI,ZRX,DPI,stETH,ENS,FEI,1INCH,CVX,USDT,BUSD,GUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FRAX,LUSD
CRV,"0.15, 136, 886","0.59, 32, 54","0.33, 16, 49","0.36, 77, 211","0.64, 47, 73","0.73, 22, 30","0.48, 31, 64","0.3, 48, 159","0.33, 1, 3","0.5, 52, 105",0.0,"0.48, 59, 123","0.42, 44, 104","0.68, 68, 100","0.46, 51, 110","0.61, 48, 79","0.6, 47, 78","0.41, 19, 46","0.58, 25, 43","0.59, 36, 61","0.7, 7, 10","0.3, 7, 23","0.73, 8, 11",0.0,"0.75, 6, 8","0.64, 7, 11","1.0, 3, 3",0.0,0.0,0.0,0.0,"1.0, 16, 16",0.0,0.0,0.0,0.0,0.0
AAVE,"0.21, 331, 1568","0.52, 45, 86","0.48, 63, 131","0.32, 213, 675","0.64, 87, 137","0.71, 42, 59","0.57, 78, 138","0.29, 132, 451","0.93, 13, 14","0.53, 137, 258","0.52, 64, 123",0.0,"0.5, 75, 151","0.64, 58, 90","0.47, 77, 163","0.69, 105, 152","0.54, 62, 115","0.59, 39, 66","0.63, 64, 102","0.67, 41, 61","0.5, 5, 10","0.24, 5, 21","0.43, 3, 7",0.0,"0.33, 1, 3",0.0,"1.0, 11, 11",0.0,"1.0, 7, 7",0.0,"1.0, 1, 1","1.0, 4, 4","1.0, 1, 1",0.0,0.0,0.0,0.0
ENJ,"0.25, 185, 741","0.55, 46, 83","0.35, 7, 20","0.37, 102, 276","0.62, 67, 108","0.44, 12, 27","0.54, 20, 37","0.34, 53, 158","1.0, 3, 3","0.58, 102, 177","0.58, 60, 104","0.5, 76, 151",0.0,"0.59, 27, 46","0.44, 96, 220","0.62, 45, 73","0.5, 44, 88","0.7, 59, 84","0.53, 10, 19","0.57, 42, 74","0.5, 1, 2","0.17, 1, 6","0.75, 3, 4",0.0,0.0,0.0,"1.0, 4, 4",0.0,"1.0, 1, 1",0.0,"1.0, 1, 1","1.0, 1, 1",0.0,0.0,0.0,0.0,0.0
BAL,"0.11, 51, 454","0.44, 15, 34","0.21, 7, 34","0.2, 33, 164","0.48, 25, 52","0.33, 3, 9","0.41, 11, 27","0.18, 20, 109","1.0, 2, 2","0.26, 20, 76","0.32, 32, 100","0.36, 32, 90","0.41, 19, 46",0.0,"0.36, 26, 73","0.54, 28, 52","0.42, 25, 60","0.38, 19, 50","0.33, 14, 43","0.53, 21, 40","0.57, 4, 7","0.13, 2, 15","0.5, 1, 2",0.0,0.0,0.0,"1.0, 1, 1",0.0,0.0,"1.0, 1, 1",0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0
MANA,"0.24, 179, 758","0.64, 65, 101","0.51, 38, 75","0.36, 92, 253","0.73, 67, 92","0.91, 39, 43","0.59, 20, 34","0.44, 85, 194","0.93, 13, 14","0.62, 81, 130","0.54, 59, 110","0.53, 86, 163","0.56, 124, 220","0.64, 47, 73",0.0,"0.63, 51, 81","0.58, 46, 79","0.61, 51, 83","0.54, 19, 35","0.55, 37, 67","0.67, 6, 9","0.43, 3, 7","0.71, 10, 14",0.0,0.0,"0.4, 2, 5","1.0, 4, 4","1.0, 11, 11",0.0,"1.0, 10, 10",0.0,"1.0, 7, 7",0.0,0.0,0.0,0.0,0.0
SNX,"0.11, 84, 776","0.5, 24, 48","0.18, 9, 50","0.21, 46, 216","0.52, 31, 60","0.5, 11, 22","0.33, 16, 48","0.16, 19, 116","1.0, 1, 1","0.32, 34, 107","0.39, 31, 79","0.31, 47, 152","0.38, 28, 73","0.46, 24, 52","0.37, 30, 81",0.0,"0.34, 17, 50","0.35, 13, 37","0.36, 16, 45","0.46, 17, 37","0.0, 0, 1","0.06, 1, 16","0.38, 3, 8",0.0,0.0,"0.25, 1, 4","1.0, 2, 2","1.0, 1, 1",0.0,"1.0, 1, 1",0.0,"1.0, 2, 2",0.0,"1.0, 1, 1",0.0,0.0,0.0
MKR,"0.15, 92, 634","0.6, 26, 43","0.41, 18, 44","0.3, 67, 227","0.53, 42, 80","0.64, 16, 25","0.57, 39, 69","0.2, 37, 181","1.0, 1, 1","0.51, 59, 115","0.4, 31, 78","0.46, 53, 115","0.5, 44, 88","0.58, 35, 60","0.42, 33, 79","0.66, 33, 50",0.0,"0.43, 21, 49","0.52, 34, 65","0.63, 34, 54","0.55, 6, 11","0.18, 2, 11","0.17, 1, 6",0.0,0.0,0.0,"1.0, 1, 1",0.0,"1.0, 1, 1","1.0, 1, 1",0.0,"1.0, 4, 4","1.0, 2, 2",0.0,0.0,0.0,0.0
KNC,"0.16, 52, 322","0.5, 16, 32","0.41, 9, 22","0.32, 39, 122","0.6, 31, 52","1.0, 3, 3","0.55, 6, 11","0.35, 29, 83","0.43, 3, 7","0.41, 25, 61","0.59, 27, 46","0.41, 27, 66","0.3, 25, 84","0.62, 31, 50","0.39, 32, 83","0.65, 24, 37","0.57, 28, 49",0.0,"0.43, 10, 23","0.58, 29, 50","0.0, 0, 1",0.0,"0.0, 0, 2",0.0,"1.0, 1, 1",0.0,"1.0, 5, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xSUSHI,"0.13, 87, 657","0.54, 7, 13","0.35, 9, 26","0.29, 51, 178","0.39, 20, 51","0.62, 5, 8","0.35, 20, 57","0.22, 31, 138","1.0, 2, 2","0.43, 41, 96","0.42, 18, 43","0.37, 38, 102","0.47, 9, 19","0.67, 29, 43","0.46, 16, 35","0.64, 29, 45","0.48, 31, 65","0.57, 13, 23",0.0,"0.65, 20, 31","0.2, 1, 5","0.0, 0, 2","0.33, 1, 3",0.0,0.0,0.0,0.0,0.0,"1.0, 1, 1",0.0,0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0
ZRX,"0.13, 41, 317","0.47, 16, 34","0.27, 12, 44","0.35, 48, 136","0.44, 19, 43","0.44, 4, 9","0.3, 7, 23","0.17, 14, 82",0.0,"0.36, 24, 67","0.41, 25, 61","0.33, 20, 61","0.43, 32, 74","0.47, 19, 40","0.45, 30, 67","0.54, 20, 37","0.37, 20, 54","0.42, 21, 50","0.35, 11, 31",0.0,0.0,"0.17, 1, 6","0.5, 1, 2",0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 3, 3",0.0,"1.0, 2, 2",0.0,0.0,0.0,0.0,0.0
DPI,"0.12, 22, 184","0.4, 2, 5","0.57, 4, 7","0.3, 6, 20","0.33, 1, 3","0.0, 0, 1","0.86, 6, 7","0.31, 9, 29",0.0,"0.5, 4, 8","0.3, 3, 10","0.5, 5, 10","0.5, 1, 2","0.43, 3, 7","0.33, 3, 9","1.0, 1, 1","0.45, 5, 11","1.0, 1, 1","0.8, 4, 5",0.0,0.0,"0.5, 1, 2","0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stETH,"0.53, 156, 292","0.75, 3, 4","0.7, 21, 30","0.86, 19, 22","1.0, 4, 4","0.83, 25, 30","0.86, 6, 7","0.57, 51, 90",0.0,"0.62, 8, 13","0.7, 16, 23","0.76, 16, 21","0.83, 5, 6","0.87, 13, 15","0.57, 4, 7","0.94, 15, 16","0.82, 9, 11",0.0,"1.0, 2, 2","0.83, 5, 6","0.5, 1, 2",0.0,"0.29, 2, 7","1.0, 1, 1",0.0,"0.2, 1, 5","1.0, 9, 9",0.0,0.0,0.0,0.0,"1.0, 3, 3",0.0,0.0,0.0,0.0,"1.0, 3, 3"
ENS,"0.29, 24, 82","0.6, 6, 10","0.5, 3, 6","0.3, 7, 23","0.5, 1, 2","0.57, 4, 7","0.75, 3, 4","0.21, 4, 19",0.0,"0.5, 10, 20","0.27, 3, 11","0.57, 4, 7","0.25, 1, 4","0.5, 1, 2","0.29, 4, 14","0.62, 5, 8","0.83, 5, 6","1.0, 2, 2","0.67, 2, 3","0.5, 1, 2","1.0, 2, 2","0.71, 5, 7",0.0,"0.5, 1, 2",0.0,"1.0, 1, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEI,"0.2, 1, 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1","0.5, 1, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1INCH,"0.31, 4, 13",0.0,0.0,"0.09, 1, 11",0.0,0.0,0.0,"0.5, 1, 2",0.0,"0.6, 3, 5","0.25, 2, 8","0.67, 2, 3",0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVX,"0.44, 4, 9","0.0, 0, 1","1.0, 1, 1","0.0, 0, 3",0.0,0.0,0.0,"0.5, 2, 4",0.0,"0.5, 1, 2","0.36, 4, 11",0.0,0.0,0.0,"0.6, 3, 5","0.75, 3, 4",0.0,0.0,0.0,0.0,0.0,"0.8, 4, 5","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDT,"0.0, 0, 365","0.0, 0, 4","0.0, 0, 38","0.0, 0, 90","0.0, 0, 4","0.0, 0, 27","0.0, 0, 7","0.0, 0, 49","0.0, 0, 4","0.0, 0, 13","0.0, 0, 3","0.0, 0, 11","0.0, 0, 4","0.0, 0, 1","0.0, 0, 4","0.0, 0, 2","0.0, 0, 1","0.0, 0, 5",0.0,0.0,0.0,"0.0, 0, 9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSD,"0.0, 0, 26",0.0,"0.0, 0, 12","0.0, 0, 18",0.0,"0.0, 0, 5","0.0, 0, 3","0.0, 0, 7",0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 11","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSD,"0.0, 0, 50",0.0,"0.0, 0, 2","0.0, 0, 5","0.0, 0, 13","0.0, 0, 3","0.0, 0, 3","0.0, 0, 20","0.0, 0, 2","0.0, 0, 1",0.0,"0.0, 0, 7","0.0, 0, 1",0.0,0.0,0.0,"0.0, 0, 1",0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sUSD,"0.0, 0, 37",0.0,"0.0, 0, 8","0.0, 0, 9","0.0, 0, 1",0.0,"0.0, 0, 1","0.0, 0, 11",0.0,"0.0, 0, 7",0.0,0.0,0.0,"0.0, 0, 1","0.0, 0, 10","0.0, 0, 1","0.0, 0, 1",0.0,0.0,"0.0, 0, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renFIL,"0.0, 0, 3",0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,"0.0, 0, 9",0.0,"0.0, 0, 1",0.0,"0.0, 0, 1","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPL,"0.0, 0, 65","0.0, 0, 1","0.0, 0, 31","0.0, 0, 10","0.0, 0, 2","0.0, 0, 1","0.0, 0, 3","0.0, 0, 13",0.0,"0.0, 0, 8","0.0, 0, 16","0.0, 0, 4","0.0, 0, 1","0.0, 0, 1","0.0, 0, 7","0.0, 0, 2","0.0, 0, 4",0.0,"0.0, 0, 1","0.0, 0, 2",0.0,"0.0, 0, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDP,"0.0, 0, 5",0.0,"0.0, 0, 1","0.0, 0, 5",0.0,"0.0, 0, 3",0.0,0.0,0.0,"0.0, 0, 1",0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,"0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAI,"0.0, 0, 1",0.0,0.0,"0.0, 0, 1","0.0, 0, 1",0.0,0.0,0.0,0.0,"0.0, 0, 3",0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UST,"0.0, 0, 2",0.0,"0.0, 0, 1",0.0,0.0,"0.0, 0, 3",0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRAX,"0.0, 0, 2",0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUSD,"0.0, 0, 3",0.0,"0.0, 0, 3",0.0,0.0,0.0,0.0,"0.0, 0, 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
