,WETH,BAT,USDC,LINK,REN,DAI,YFI,WBTC,TUSD,UNI,CRV,AAVE,ENJ,BAL,MANA,SNX,MKR,KNC,xSUSHI,ZRX,DPI,stETH,ENS,FEI,1INCH,CVX,USDT,BUSD,GUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FRAX,LUSD
AAVE,0.21,0.52,0.48,0.32,0.64,0.71,0.57,0.29,0.93,0.53,0.52,0.0,0.5,0.64,0.47,0.69,0.54,0.59,0.63,0.67,0.5,0.24,0.43,0.0,0.33,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ENJ,0.25,0.55,0.35,0.37,0.62,0.44,0.54,0.34,1.0,0.58,0.58,0.5,0.0,0.59,0.44,0.62,0.5,0.7,0.53,0.57,0.5,0.17,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
BAL,0.11,0.44,0.21,0.2,0.48,0.33,0.41,0.18,1.0,0.26,0.32,0.36,0.41,0.0,0.36,0.54,0.42,0.38,0.33,0.53,0.57,0.13,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MANA,0.24,0.64,0.51,0.36,0.73,0.91,0.59,0.44,0.93,0.62,0.54,0.53,0.56,0.64,0.0,0.63,0.58,0.61,0.54,0.55,0.67,0.43,0.71,0.0,0.0,0.4,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SNX,0.11,0.5,0.18,0.21,0.52,0.5,0.33,0.16,1.0,0.32,0.39,0.31,0.38,0.46,0.37,0.0,0.34,0.35,0.36,0.46,0.0,0.06,0.38,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
MKR,0.15,0.6,0.41,0.3,0.53,0.64,0.57,0.2,1.0,0.51,0.4,0.46,0.5,0.58,0.42,0.66,0.0,0.43,0.52,0.63,0.55,0.18,0.17,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
KNC,0.16,0.5,0.41,0.32,0.6,1.0,0.55,0.35,0.43,0.41,0.59,0.41,0.3,0.62,0.39,0.65,0.57,0.0,0.43,0.58,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xSUSHI,0.13,0.54,0.35,0.29,0.39,0.62,0.35,0.22,1.0,0.43,0.42,0.37,0.47,0.67,0.46,0.64,0.48,0.57,0.0,0.65,0.2,0.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ZRX,0.13,0.47,0.27,0.35,0.44,0.44,0.3,0.17,0.0,0.36,0.41,0.33,0.43,0.47,0.45,0.54,0.37,0.42,0.35,0.0,0.0,0.17,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DPI,0.12,0.4,0.57,0.3,0.33,0.0,0.86,0.31,0.0,0.5,0.3,0.5,0.5,0.43,0.33,1.0,0.45,1.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stETH,0.53,0.75,0.7,0.86,1.0,0.83,0.86,0.57,0.0,0.62,0.7,0.76,0.83,0.87,0.57,0.94,0.82,0.0,1.0,0.83,0.5,0.0,0.29,1.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ENS,0.29,0.6,0.5,0.3,0.5,0.57,0.75,0.21,0.0,0.5,0.27,0.57,0.25,0.5,0.29,0.62,0.83,1.0,0.67,0.5,1.0,0.71,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEI,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1INCH,0.31,0.0,0.0,0.09,0.0,0.0,0.0,0.5,0.0,0.6,0.25,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVX,0.44,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.36,0.0,0.0,0.0,0.6,0.75,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renFIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
