,WETH,BAT,DAI,LINK,YFI,WBTC,AAVE,USDC,TUSD,UNI,ENJ,CRV,MKR,REN,SNX,KNC,xSUSHI,MANA,BAL,ZRX,DPI,stETH,ENS,CVX,USDT,GUSD,BUSD,sUSD,renFIL,AMPL,USDP,RAI,UST,FEI,FRAX,LUSD,1INCH
WETH,0.0,"1.0, 383, 383,0.0%","1.0, 465, 465,100.0%","1.0, 2009, 2010,0.0%","0.0, 0, 104","0.02, 28, 1377,92.86%","0.98, 675, 690,0.0%","1.0, 644, 644,100.0%","1.0, 65, 65,100.0%","1.0, 995, 995,0.0%","1.0, 490, 490,0.0%","1.0, 561, 561,0.0%","0.23, 12, 53,0.0%","1.0, 432, 433,0.0%","1.0, 571, 571,0.0%","1.0, 254, 255,0.0%","1.0, 345, 345,0.0%","1.0, 491, 491,0.0%","1.0, 363, 363,0.0%","1.0, 265, 265,0.0%","1.0, 96, 96,0.0%","0.15, 7, 46,0.0%","1.0, 56, 56,0.0%","1.0, 5, 5,0.0%","1.0, 225, 225,100.0%","1.0, 48, 48,100.0%","1.0, 17, 17,100.0%","1.0, 9, 9,100.0%","1.0, 3, 3,100.0%","1.0, 62, 62,100.0%","1.0, 5, 5,100.0%","1.0, 1, 1,100.0%","1.0, 2, 2,100.0%","1.0, 4, 4,0.0%","1.0, 2, 2,100.0%","1.0, 3, 3,100.0%","1.0, 9, 9,0.0%"
BAT,"0.0, 0, 383",0.0,"0.0, 0, 1","0.01, 1, 114,100.0%","0.0, 0, 16","0.0, 0, 85","0.0, 0, 38","0.29, 2, 7,100.0%",0.0,"0.0, 0, 48","0.06, 1, 17,100.0%","0.0, 0, 12","0.0, 0, 19","0.86, 12, 14,100.0%","0.06, 1, 18,100.0%","0.0, 0, 5","0.0, 0, 5","0.05, 1, 20,100.0%","0.0, 0, 10","0.0, 0, 2","0.0, 0, 1","0.0, 0, 3","0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAI,"0.0, 0, 465","1.0, 1, 1,0.0%",0.0,"0.01, 1, 72,0.0%","0.0, 0, 17","0.0, 0, 141","0.0, 0, 31","0.38, 21, 56,57.14%",0.0,"0.0, 0, 10","0.5, 2, 4,0.0%","0.0, 0, 1","0.0, 0, 13","1.0, 3, 3,0.0%","0.0, 0, 5","0.0, 0, 1","0.0, 0, 1","1.0, 1, 1,0.0%",0.0,"1.0, 2, 2,0.0%",0.0,"0.0, 0, 25","0.0, 0, 4",0.0,"1.0, 2, 2,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 3, 3,100.0%",0.0,0.0,0.0,0.0
LINK,"0.0, 1, 2010,100.0%","0.99, 113, 114,61.95%","0.99, 71, 72,100.0%",0.0,"0.0, 0, 64","0.0, 1, 523,100.0%","0.01, 1, 175,0.0%","1.0, 111, 111,100.0%","1.0, 20, 20,95.0%","0.6, 36, 60,86.11%","0.99, 126, 127,65.08%","0.99, 75, 76,0.0%","0.0, 0, 60","1.0, 244, 244,56.97%","0.98, 53, 54,49.06%","0.98, 47, 48,53.19%","0.86, 38, 44,0.0%","0.99, 110, 111,67.27%","0.38, 5, 13,20.0%","0.99, 67, 68,74.63%","0.0, 0, 5","0.0, 0, 17","0.0, 0, 1",0.0,"1.0, 9, 9,100.0%","1.0, 4, 4,100.0%","1.0, 1, 1,100.0%","1.0, 4, 4,100.0%",0.0,"1.0, 4, 4,100.0%","1.0, 2, 2,100.0%","1.0, 1, 1,100.0%",0.0,0.0,0.0,0.0,"1.0, 2, 2,0.0%"
YFI,"1.0, 104, 104,100.0%","1.0, 16, 16,100.0%","1.0, 17, 17,100.0%","1.0, 64, 64,100.0%",0.0,"0.38, 17, 45,100.0%","1.0, 56, 56,100.0%","1.0, 11, 11,100.0%","1.0, 1, 1,100.0%","1.0, 32, 32,53.12%","1.0, 16, 16,100.0%","1.0, 28, 28,75.0%","1.0, 22, 22,95.45%","1.0, 29, 29,100.0%","1.0, 32, 32,100.0%","1.0, 3, 3,33.33%","1.0, 33, 33,57.58%","1.0, 13, 13,100.0%","1.0, 15, 15,53.33%","1.0, 15, 15,100.0%","1.0, 1, 1,0.0%","1.0, 1, 1,100.0%","1.0, 1, 1,100.0%",0.0,"1.0, 5, 5,100.0%","1.0, 3, 3,100.0%",0.0,0.0,0.0,"1.0, 3, 3,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0
WBTC,"0.98, 1349, 1377,100.0%","1.0, 85, 85,41.18%","1.0, 141, 141,100.0%","1.0, 522, 523,75.29%","0.62, 28, 45,0.0%",0.0,"1.0, 278, 278,44.96%","1.0, 147, 147,100.0%","1.0, 9, 9,100.0%","1.0, 226, 226,38.05%","1.0, 94, 94,85.11%","1.0, 99, 99,0.0%","1.0, 74, 74,45.95%","1.0, 111, 111,39.64%","1.0, 91, 91,30.77%","1.0, 53, 53,69.81%","1.0, 100, 100,0.0%","1.0, 100, 100,25.0%","1.0, 88, 88,39.77%","1.0, 67, 67,35.82%","1.0, 19, 19,0.0%","1.0, 35, 35,0.0%","1.0, 15, 15,0.0%","1.0, 2, 2,0.0%","1.0, 28, 28,100.0%","1.0, 20, 20,100.0%","1.0, 1, 1,100.0%","1.0, 5, 5,100.0%","1.0, 9, 9,100.0%","1.0, 9, 9,100.0%",0.0,0.0,"1.0, 1, 1,100.0%",0.0,"1.0, 1, 1,100.0%","1.0, 4, 4,100.0%","1.0, 1, 1,0.0%"
AAVE,"0.02, 15, 690,100.0%","1.0, 38, 38,97.37%","1.0, 31, 31,100.0%","0.99, 174, 175,100.0%","0.0, 0, 56","0.0, 0, 278",0.0,"1.0, 56, 56,100.0%","1.0, 12, 12,100.0%","1.0, 98, 98,61.22%","1.0, 70, 70,95.71%","1.0, 53, 53,0.0%","0.0, 0, 43","1.0, 84, 84,95.24%","1.0, 88, 88,100.0%","0.97, 33, 34,78.79%","1.0, 51, 51,0.0%","1.0, 73, 73,95.89%","1.0, 47, 47,63.83%","1.0, 34, 34,100.0%","0.0, 0, 1","0.0, 0, 9","1.0, 1, 1,0.0%",0.0,"1.0, 6, 6,100.0%","1.0, 7, 7,100.0%",0.0,0.0,"1.0, 1, 1,100.0%","1.0, 3, 3,100.0%","1.0, 1, 1,100.0%",0.0,0.0,0.0,0.0,0.0,"1.0, 1, 1,0.0%"
USDC,"0.0, 0, 644","0.71, 5, 7,0.0%","0.62, 35, 56,91.43%","0.0, 0, 111","0.0, 0, 11","0.0, 0, 147","0.0, 0, 56",0.0,"0.33, 2, 6,100.0%","0.0, 0, 18","0.5, 1, 2,0.0%","0.0, 0, 8","0.0, 0, 12","0.67, 2, 3,0.0%","0.0, 0, 6","0.0, 0, 4","0.0, 0, 3","0.33, 3, 9,0.0%","0.0, 0, 4","1.0, 5, 5,0.0%","0.0, 0, 2","0.0, 0, 11","0.0, 0, 2","0.0, 0, 1","1.0, 5, 5,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 1, 1,100.0%",0.0
TUSD,"0.0, 0, 65",0.0,0.0,"0.0, 0, 20","0.0, 0, 1","0.0, 0, 9","0.0, 0, 12","0.67, 4, 6,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"0.0, 0, 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 3, 3,100.0%","1.0, 1, 1,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNI,"0.0, 0, 995","1.0, 48, 48,91.67%","1.0, 10, 10,100.0%","0.4, 24, 60,100.0%","0.0, 0, 32","0.0, 0, 226","0.0, 0, 98","1.0, 18, 18,100.0%",0.0,0.0,"1.0, 63, 63,98.41%","1.0, 38, 38,42.11%","0.0, 0, 44","0.98, 61, 62,96.72%","0.96, 27, 28,100.0%","0.95, 20, 21,65.0%","0.86, 24, 28,33.33%","1.0, 37, 37,100.0%","0.67, 4, 6,100.0%","0.97, 35, 36,97.14%","0.0, 0, 1","0.0, 0, 7","0.14, 1, 7,100.0%",0.0,"1.0, 1, 1,100.0%","1.0, 1, 1,100.0%",0.0,0.0,0.0,"1.0, 7, 7,100.0%",0.0,"1.0, 2, 2,100.0%",0.0,0.0,0.0,0.0,"1.0, 2, 2,100.0%"
ENJ,"0.0, 0, 490","0.94, 16, 17,75.0%","0.5, 2, 4,100.0%","0.01, 1, 127,100.0%","0.0, 0, 16","0.0, 0, 94","0.0, 0, 70","0.5, 1, 2,100.0%",0.0,"0.0, 0, 63",0.0,"0.03, 1, 29,0.0%","0.0, 0, 41","0.95, 38, 40,65.79%","0.06, 1, 17,0.0%","0.0, 0, 10","0.0, 0, 7","0.52, 27, 52,100.0%","0.0, 0, 13","0.81, 13, 16,76.92%","0.0, 0, 1","0.0, 0, 2","0.5, 1, 2,0.0%",0.0,0.0,"1.0, 1, 1,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRV,"0.0, 0, 561","1.0, 12, 12,91.67%","1.0, 1, 1,100.0%","0.01, 1, 76,100.0%","0.0, 0, 28","0.0, 0, 99","0.0, 0, 53","1.0, 8, 8,100.0%",0.0,"0.0, 0, 38","0.97, 28, 29,100.0%",0.0,"0.0, 0, 30","1.0, 36, 36,94.44%","0.18, 2, 11,100.0%","0.83, 5, 6,60.0%","0.11, 1, 9,100.0%","0.87, 27, 31,100.0%","0.0, 0, 18","1.0, 19, 19,89.47%","0.0, 0, 3","0.0, 0, 13","0.0, 0, 2","0.33, 2, 6,50.0%",0.0,0.0,0.0,0.0,0.0,"1.0, 2, 2,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,"1.0, 2, 2,0.0%"
MKR,"0.77, 41, 53,100.0%","1.0, 19, 19,94.74%","1.0, 13, 13,100.0%","1.0, 60, 60,100.0%","0.0, 0, 22","0.0, 0, 74","1.0, 43, 43,100.0%","1.0, 12, 12,100.0%",0.0,"1.0, 44, 44,61.36%","1.0, 41, 41,95.12%","1.0, 30, 30,0.0%",0.0,"1.0, 41, 41,95.12%","1.0, 30, 30,100.0%","1.0, 16, 16,68.75%","1.0, 27, 27,0.0%","1.0, 31, 31,100.0%","1.0, 33, 33,45.45%","1.0, 32, 32,96.88%","1.0, 4, 4,75.0%","0.0, 0, 2","1.0, 1, 1,0.0%",0.0,"1.0, 1, 1,100.0%","1.0, 1, 1,100.0%",0.0,0.0,0.0,"1.0, 4, 4,100.0%","1.0, 2, 2,100.0%",0.0,0.0,0.0,0.0,0.0,0.0
REN,"0.0, 1, 433,100.0%","0.14, 2, 14,100.0%","0.0, 0, 3","0.0, 0, 244","0.0, 0, 29","0.0, 0, 111","0.0, 0, 84","0.33, 1, 3,100.0%",0.0,"0.02, 1, 62,0.0%","0.05, 2, 40,100.0%","0.0, 0, 36","0.0, 0, 41",0.0,"0.0, 0, 27","0.07, 2, 29,50.0%","0.0, 0, 18","0.0, 0, 33","0.08, 2, 25,0.0%","0.1, 1, 10,100.0%","0.0, 0, 1","0.0, 0, 4","0.0, 0, 1",0.0,0.0,"1.0, 3, 3,100.0%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
