chosen_asset,comparison_asset,chosen_bonus,comparison_bonus,chosen_liquidated_amount,chosen_available_amount,comparison_available_amount,bonus_comparison
WETH,DAI,10500.0,10500.0,4.841975408877585,11.000030201615656,97.12970086787666,Equal
BAT,WETH,11000.0,10500.0,4162.66011657948,4422.32223417547,1.8769114051407287,True
USDC,LINK,10500.0,11000.0,591.333897,1261.981881,0.9095178143554056,False
WETH,WBTC,10500.0,11000.0,29.192677274373548,41.40102007141905,0.43105387,False
WETH,YFI,10500.0,11500.0,29.192677274373548,41.40102007141905,0.0067685388649767,False
WETH,UNI,10500.0,11000.0,29.192677274373548,41.40102007141905,172.7185737170596,False
WETH,AAVE,10500.0,11000.0,29.192677274373548,41.40102007141905,1.261058786818265,False
WETH,BAT,10500.0,11000.0,29.192677274373548,41.40102007141905,5002.651149971029,False
WETH,LINK,10500.0,11000.0,29.192677274373548,41.40102007141905,453.0573274529853,False
WETH,MANA,10500.0,11000.0,29.192677274373548,41.40102007141905,2274.08790665634,False
WETH,REN,10500.0,11000.0,29.192677274373548,41.40102007141905,388.07803752229023,False
WETH,SNX,10500.0,11000.0,29.192677274373548,41.40102007141905,180.9499324850158,False
LINK,WETH,11000.0,10500.0,891.7654537684684,1663.004949404517,8.500224280797106,True
LINK,USDC,11000.0,10500.0,17113.09074773363,47037.14168630646,10089.110273,True
BAT,UNI,11000.0,11000.0,22668.795104512326,22668.79492925551,466.2908859710642,Equal
BAT,MANA,11000.0,11000.0,22668.795104512326,22668.79492925551,201398.1174876497,Equal
REN,DAI,11000.0,10500.0,1826.764619681544,2630.4553954521407,587.0939514511067,True
WETH,BAT,10500.0,11000.0,0.8569638143964196,1.8769461822201292,259.6777280583699,False
WETH,USDT,10500.0,0.0,165.47634323580715,380.80090042099033,15008.335984,True
DAI,USDT,10500.0,0.0,12996.369438669572,30810.762038347413,23865.625174,True
LINK,USDC,11000.0,10500.0,291.95406395900363,512.7721211169871,2027.669151,True
YFI,UNI,11500.0,11000.0,0.3445555416385841,0.3445555403948521,1000.849889462628,True
YFI,AAVE,11500.0,11000.0,0.3445555416385841,0.3445555403948521,41.01641763925512,True
YFI,DAI,11500.0,10500.0,0.3445555416385841,0.3445555403948521,20056.49709203874,True
YFI,MKR,11500.0,11000.0,0.3445555416385841,0.3445555403948521,3.513390340785742,True
YFI,CRV,11500.0,11500.0,0.3445555416385841,0.3445555403948521,2273.9763151286284,Equal
USDC,TUSD,10500.0,10500.0,2055.627147,3501.184782,1137.755957776083,Equal
WBTC,WETH,11000.0,10500.0,0.67888491,1.59690395,1.4000176036099754,True
WETH,WBTC,10500.0,11000.0,367.5303178054936,630.7735351727056,5.85813032,False
WETH,LINK,10500.0,11000.0,367.5303178054936,630.7735351727056,3187.6220467611693,False
LINK,WETH,11000.0,10500.0,11763.942979274489,26516.75452751716,20.000371783608127,True
LINK,USDC,11000.0,10500.0,11763.942979274489,26516.75452751716,11167.095069,True
YFI,ENJ,11500.0,11000.0,0.90971564191704,3.006573297570346,20682.470400631177,True
YFI,LINK,11500.0,11000.0,0.90971564191704,3.006573297570346,1418.7717984485514,True
YFI,USDC,11500.0,10500.0,0.90971564191704,3.006573297570346,10465.620505,True
LINK,WETH,11000.0,10500.0,5599.046155021296,10164.85623228116,20.000848812577143,True
LINK,USDC,11000.0,10500.0,5599.046155021296,10164.85623228116,20039.736606,True
LINK,WETH,11000.0,10500.0,10623.00063884434,22447.29389509181,72.00182060366416,True
YFI,WETH,11500.0,10500.0,0.6806768075470226,1.0405770073688103,25.4036468590868,True
YFI,UNI,11500.0,11000.0,0.6806768075470226,1.0405770073688103,689.896106210623,True
YFI,BAT,11500.0,11000.0,0.6806768075470226,1.0405770073688103,14551.743434248385,True
YFI,LINK,11500.0,11000.0,0.6806768075470226,1.0405770073688103,37.2474803062706,True
WETH,WBTC,10500.0,11000.0,29.791454618577685,74.27217630170723,0.10000047,False
WETH,YFI,10500.0,11500.0,29.791454618577685,74.27217630170723,0.0067801332837956,False
WETH,UNI,10500.0,11000.0,29.791454618577685,74.27217630170723,172.72822231894804,False
WETH,AAVE,10500.0,11000.0,29.791454618577685,74.27217630170723,1.2611060784858132,False
WETH,BAT,10500.0,11000.0,29.791454618577685,74.27217630170723,31588.14579280663,False
WETH,LINK,10500.0,11000.0,29.791454618577685,74.27217630170723,453.0805155278779,False
WETH,MANA,10500.0,11000.0,29.791454618577685,74.27217630170723,2274.174434707391,False
WETH,REN,10500.0,11000.0,29.791454618577685,74.27217630170723,388.1080074637245,False
WETH,SNX,10500.0,11000.0,29.791454618577685,74.27217630170723,181.1704548730828,False
WETH,UNI,10500.0,11000.0,7.087464198864053,25.899322645278733,25.71345175391837,False
WETH,AAVE,10500.0,11000.0,7.087464198864053,25.899322645278733,1.8609396319280929,False
WETH,BAT,10500.0,11000.0,7.087464198864053,25.899322645278733,11203.993283903696,False
WETH,KNC,10500.0,11000.0,7.087464198864053,25.899322645278733,1145.8481699585798,False
WETH,LINK,10500.0,11000.0,7.087464198864053,25.899322645278733,101.28854401781084,False
WETH,MANA,10500.0,11000.0,7.087464198864053,25.899322645278733,9198.39245649812,False
WETH,SNX,10500.0,11000.0,7.087464198864053,25.899322645278733,39.78187010505935,False
WETH,CRV,10500.0,11500.0,7.087464198864053,25.899322645278733,1330.129700095259,False
WBTC,WETH,11000.0,10500.0,0.7586499,1.57344891,6.5547532349239255,True
WBTC,WETH,11000.0,10500.0,0.62593151,1.21608782,26.00111870756589,True
WETH,WBTC,10500.0,11000.0,18.47003697025127,61.5191874863684,0.20854779,False
WETH,YFI,10500.0,11500.0,18.47003697025127,61.5191874863684,0.0067802755655994,False
WETH,UNI,10500.0,11000.0,18.47003697025127,61.5191874863684,172.72854533787523,False
WETH,AAVE,10500.0,11000.0,18.47003697025127,61.5191874863684,1.2611062124422865,False
WETH,BAT,10500.0,11000.0,18.47003697025127,61.5191874863684,31588.36282086497,False
WETH,LINK,10500.0,11000.0,18.47003697025127,61.5191874863684,453.0808132941667,False
WETH,MANA,10500.0,11000.0,18.47003697025127,61.5191874863684,2274.176966225209,False
WETH,REN,10500.0,11000.0,18.47003697025127,61.5191874863684,388.11028205385264,False
WETH,SNX,10500.0,11000.0,18.47003697025127,61.5191874863684,181.21908121447092,False
BAT,WBTC,11000.0,11000.0,5145.013866002862,31588.36282086497,0.20854779,Equal
BAT,WETH,11000.0,10500.0,5145.013866002862,31588.36282086497,61.5191874863684,True
BAT,YFI,11000.0,11500.0,5145.013866002862,31588.36282086497,0.0067802755655994,False
BAT,UNI,11000.0,11000.0,5145.013866002862,31588.36282086497,172.72854533787523,Equal
BAT,AAVE,11000.0,11000.0,5145.013866002862,31588.36282086497,1.2611062124422865,Equal
BAT,LINK,11000.0,11000.0,5145.013866002862,31588.36282086497,453.0808132941667,Equal
BAT,MANA,11000.0,11000.0,5145.013866002862,31588.36282086497,2274.176966225209,Equal
BAT,REN,11000.0,11000.0,5145.013866002862,31588.36282086497,388.11028205385264,Equal
BAT,SNX,11000.0,11000.0,5145.013866002862,31588.36282086497,181.21908121447092,Equal
WETH,WBTC,10500.0,11000.0,529.3074018346432,749.2781447414254,14.00103265,False
WETH,YFI,10500.0,11500.0,529.3074018346432,749.2781447414254,1.6189198312820328,False
WETH,AAVE,10500.0,11000.0,529.3074018346432,749.2781447414254,122.44074044976718,False
WETH,KNC,10500.0,11000.0,529.3074018346432,749.2781447414254,17871.47382913734,False
WETH,LINK,10500.0,11000.0,529.3074018346432,749.2781447414254,3187.633745566522,False
WETH,SNX,10500.0,11000.0,529.3074018346432,749.2781447414254,976.1721719574088,False
WBTC,WETH,11000.0,10500.0,0.21051139,0.43824627,2.000133130174847,True
WBTC,WETH,11000.0,10500.0,0.55629035,1.10190929,6.554775676623836,True
LINK,WETH,11000.0,10500.0,3288.302925455853,5666.423966776495,25.08154306886787,True
LINK,USDC,11000.0,10500.0,3288.302925455853,5666.423966776495,1772.109142,True
WETH,WBTC,10500.0,11000.0,35.32817145707729,148.35892652638918,0.20219564,False
WETH,SNX,10500.0,11000.0,35.32817145707729,148.35892652638918,197.9739395281196,False
WETH,WBTC,10500.0,11000.0,4.217704890240445,37.99931799696586,0.0808857,False
WBTC,WETH,11000.0,10500.0,0.19559834,0.2593015,5.965394680956337,True
WBTC,WETH,11000.0,10500.0,0.07122522,0.08088571,33.78161626973516,True
WETH,WBTC,10500.0,11000.0,227.48599014564263,436.7817134777149,2.61483816,False
WETH,AAVE,10500.0,11000.0,227.48599014564263,436.7817134777149,138.36932143764133,False
WETH,WBTC,10500.0,11000.0,33.926864502552995,113.0307754550096,0.20219564,False
WETH,SNX,10500.0,11000.0,33.926864502552995,113.0307754550096,197.97405519328896,False
WBTC,WETH,11000.0,10500.0,11.87120292,14.00103974,318.9716982756161,True
WBTC,YFI,11000.0,11500.0,11.87120292,14.00103974,1.6189231201952794,False
WBTC,AAVE,11000.0,11000.0,11.87120292,14.00103974,122.44074044976718,Equal
WBTC,KNC,11000.0,11000.0,11.87120292,14.00103974,17871.47382914217,Equal
WBTC,LINK,11000.0,11000.0,11.87120292,14.00103974,3187.633801971117,Equal
WBTC,SNX,11000.0,11000.0,11.87120292,14.00103974,976.1929916157792,Equal
WETH,CRV,10500.0,11500.0,17.24451845378924,57.94533379886354,1857.12554620768,False
WETH,WBTC,10500.0,11000.0,15.896187830382448,44.37025467799703,0.20854789,False
WETH,YFI,10500.0,11500.0,15.896187830382448,44.37025467799703,0.0067802895133879,False
WETH,UNI,10500.0,11000.0,15.896187830382448,44.37025467799703,172.72857593727483,False
WETH,AAVE,10500.0,11000.0,15.896187830382448,44.37025467799703,1.2611062124422865,False
WETH,BAT,10500.0,11000.0,15.896187830382448,44.37025467799703,26443.35410431952,False
WETH,LINK,10500.0,11000.0,15.896187830382448,44.37025467799703,453.08082141106286,False
WETH,MANA,10500.0,11000.0,15.896187830382448,44.37025467799703,2274.177245717301,False
WETH,REN,10500.0,11000.0,15.896187830382448,44.37025467799703,388.11050620789575,False
WETH,SNX,10500.0,11000.0,15.896187830382448,44.37025467799703,181.2229769435097,False
WETH,WBTC,10500.0,11000.0,16.234763545274955,22.500305423397226,0.49751573,False
WETH,UNI,10500.0,11000.0,13.262076039349424,21.22557365703112,25.713504343814563,False
WETH,AAVE,10500.0,11000.0,13.262076039349424,21.22557365703112,1.8609398295997357,False
WETH,BAT,10500.0,11000.0,13.262076039349424,21.22557365703112,11204.072361454711,False
WETH,KNC,10500.0,11000.0,13.262076039349424,21.22557365703112,1145.8516273736498,False
WETH,LINK,10500.0,11000.0,13.262076039349424,21.22557365703112,101.2886123815511,False
WETH,MANA,10500.0,11000.0,13.262076039349424,21.22557365703112,8976.838564327827,False
WETH,MKR,10500.0,11000.0,13.262076039349424,21.22557365703112,0.9755034131957732,False
WETH,SNX,10500.0,11000.0,13.262076039349424,21.22557365703112,39.793390521680166,False
WETH,CRV,10500.0,11500.0,13.262076039349424,21.22557365703112,1330.1377426711852,False
WETH,WBTC,10500.0,11000.0,10.355562603790483,26.00121174422618,0.59015661,False
WETH,WBTC,10500.0,11000.0,10.429232730729384,28.47406808720833,0.20854789,False
WETH,YFI,10500.0,11500.0,10.429232730729384,28.47406808720833,0.0067802896304232,False
WETH,UNI,10500.0,11000.0,10.429232730729384,28.47406808720833,172.7285762423354,False
WETH,AAVE,10500.0,11000.0,10.429232730729384,28.47406808720833,1.2611062124422865,False
WETH,BAT,10500.0,11000.0,10.429232730729384,28.47406808720833,26443.354111207347,False
WETH,LINK,10500.0,11000.0,10.429232730729384,28.47406808720833,453.0808214934629,False
WETH,MANA,10500.0,11000.0,10.429232730729384,28.47406808720833,2274.177248535565,False
WETH,REN,10500.0,11000.0,10.429232730729384,28.47406808720833,388.1105084541572,False
WETH,SNX,10500.0,11000.0,10.429232730729384,28.47406808720833,181.2230015729841,False
WETH,UNI,10500.0,11000.0,6.50236889218413,7.963497971631512,25.71350438922787,False
WETH,AAVE,10500.0,11000.0,6.50236889218413,7.963497971631512,1.8609398295997357,False
WETH,BAT,10500.0,11000.0,6.50236889218413,7.963497971631512,11204.07236437309,False
WETH,KNC,10500.0,11000.0,6.50236889218413,7.963497971631512,1145.851627373653,False
WETH,LINK,10500.0,11000.0,6.50236889218413,7.963497971631512,101.28861239997204,False
WETH,MANA,10500.0,11000.0,6.50236889218413,7.963497971631512,8976.838575452333,False
