symbol,timestamp,USD_price
xSUSHI,1639402257651,7.3434277582287155
xSUSHI,1639405838833,7.3796940961666095
xSUSHI,1639409618590,7.361616740027861
xSUSHI,1639413103635,7.423108819144521
xSUSHI,1639416732133,7.353708361264051
xSUSHI,1639420296258,7.358177407690744
xSUSHI,1639423926970,6.824164488441486
xSUSHI,1639427609911,6.701522577990481
xSUSHI,1639431093371,6.507970467723118
xSUSHI,1639434676540,6.546911841981814
xSUSHI,1639438249051,6.803700903170651
xSUSHI,1639441965487,6.827510044929664
xSUSHI,1639445502074,7.046497773208935
xSUSHI,1639449042328,7.026139332150165
xSUSHI,1639452596911,6.911781734742568
xSUSHI,1639456237548,6.891006560027873
xSUSHI,1639459832933,6.830230029772335
xSUSHI,1639463457342,6.756091745336645
xSUSHI,1639467200944,6.830723388208924
xSUSHI,1639470703345,6.912232088053568
xSUSHI,1639474316988,6.969201203978593
xSUSHI,1639477937487,6.800578050057335
xSUSHI,1639481457135,6.9353689299177725
xSUSHI,1639485167630,7.007081454987867
xSUSHI,1639488791475,6.991372220142215
xSUSHI,1639492348128,6.913517943536823
xSUSHI,1639496103706,6.854756184086476
xSUSHI,1639499475769,6.685494973765934
xSUSHI,1639503064199,6.706310973507843
xSUSHI,1639506620085,6.650323443902386
xSUSHI,1639510255502,6.583852316288716
xSUSHI,1639513945601,6.611563338922053
xSUSHI,1639517460404,6.966722965362137
xSUSHI,1639521074965,7.044182663735545
xSUSHI,1639524663443,6.92190986095388
xSUSHI,1639528362965,6.990584094988171
xSUSHI,1639531927568,7.067115475591792
xSUSHI,1639535491587,7.244432154532486
xSUSHI,1639539138792,7.188157809446187
xSUSHI,1639542709379,7.226728891757435
xSUSHI,1639546385043,7.441036684924621
xSUSHI,1639549955672,7.3616782391564435
xSUSHI,1639553571962,7.175732600417211
xSUSHI,1639557091134,7.2469712314417
xSUSHI,1639560725238,7.236253016539333
xSUSHI,1639564456831,7.263713887704859
xSUSHI,1639567861720,7.34116730219113
xSUSHI,1639571597001,7.281414745778306
xSUSHI,1639575234952,7.233580969239152
xSUSHI,1639578632938,7.280172337881332
xSUSHI,1639582371747,7.232206837535335
xSUSHI,1639585849379,6.865737945052688
xSUSHI,1639589485729,7.0345133737751855
xSUSHI,1639593143204,7.012984439011616
xSUSHI,1639596748581,7.144255292032141
xSUSHI,1639600364595,7.227913481304134
xSUSHI,1639603896899,7.29096788966426
xSUSHI,1639607553878,7.253312882668794
xSUSHI,1639611081418,7.170224053041906
xSUSHI,1639614797235,7.218619983908857
xSUSHI,1639618367183,7.272827512760039
xSUSHI,1639621994157,7.2154686075889956
xSUSHI,1639625496813,7.2005580980305695
xSUSHI,1639629113307,7.12865987336627
xSUSHI,1639632770028,7.105234956803029
xSUSHI,1639636308798,7.086606375485026
xSUSHI,1639640042298,7.164916831803382
xSUSHI,1639643498225,7.150080622924999
xSUSHI,1639647273203,7.168916499135465
xSUSHI,1639650934703,7.192796389030177
xSUSHI,1639654274253,7.25508036388109
xSUSHI,1639657950245,7.273875778087341
xSUSHI,1639661509542,7.171026808572353
xSUSHI,1639665092319,7.226970359054136
xSUSHI,1639668743372,7.268002287891492
xSUSHI,1639672340807,7.44776277439141
xSUSHI,1639675954101,7.364398686170895
xSUSHI,1639679530215,7.346602150282382
xSUSHI,1639683166854,7.16918986343443
xSUSHI,1639686696430,7.053521270595244
xSUSHI,1639690370871,7.116967232663886
xSUSHI,1639693971537,7.045571328729197
xSUSHI,1639697587686,6.9195648149235165
xSUSHI,1639701263390,6.940289283314963
xSUSHI,1639704738432,7.072518028474945
xSUSHI,1639708294412,7.0365194151889074
xSUSHI,1639711883213,7.048048095470339
xSUSHI,1639715530578,7.053732043041529
xSUSHI,1639719178382,7.031613080274165
xSUSHI,1639722793753,6.987848130682814
xSUSHI,1639726380541,6.88589260168026
xSUSHI,1639729911651,6.867112146076356
xSUSHI,1639733558473,6.958667471128183
xSUSHI,1639737178445,6.958531745414704
xSUSHI,1639740912309,6.910333313957042
xSUSHI,1639744340650,6.8888129203950585
xSUSHI,1639747936513,6.8721031329204845
xSUSHI,1639751498842,6.805898926848519
xSUSHI,1639755170234,6.601580127438608
xSUSHI,1639758747618,6.823145192336219
xSUSHI,1639762329642,6.801395882820087
xSUSHI,1639765987271,6.788236508819604
xSUSHI,1639769500996,6.818383625469002
xSUSHI,1639773193356,6.746799163851209
xSUSHI,1639776685269,6.602478956460407
xSUSHI,1639780325698,6.72662531050755
xSUSHI,1639783877107,6.703788705067663
xSUSHI,1639787539596,6.78281608810491
