symbol,timestamp,USD_price
COMP,1660476213,66.57011861
COMP,1660480341,65.9768146
COMP,1660484172,64.65
COMP,1660488037,64.24186232
COMP,1660491756,64.78
COMP,1660495903,64.20635582
COMP,1660500218,62.91
COMP,1660504095,63.45524527
COMP,1660507876,63.27737166
COMP,1660512324,62.81042027
COMP,1660515898,62.76641606
COMP,1660520112,63.15738353
COMP,1660524449,63.8588313
COMP,1660528260,63.13701374
COMP,1660532154,63.92102104
COMP,1660536264,64.01903836
COMP,1660540522,63.35628697
COMP,1660544736,63.05
COMP,1660548576,61.61025586
COMP,1660552437,61.47720549
COMP,1660556279,61.38157946
COMP,1660560825,61.75451073
COMP,1660564997,61.49
COMP,1660568812,61.48433405
COMP,1660572938,61.59
COMP,1660577059,61.71890869
COMP,1660580921,61.95
COMP,1660584841,62.2072262
COMP,1660589186,61.98073427
COMP,1660593046,61.84
COMP,1660596898,61.76
COMP,1660600900,61.99701695
COMP,1660604946,60.99445895
COMP,1660608690,61.4923386
COMP,1660612415,61.73278613
COMP,1660616030,61.7490535
COMP,1660620299,61.26647354
COMP,1660624648,61.32
COMP,1660628472,60.67917052
COMP,1660632513,60.67417279
COMP,1660636657,60.91
COMP,1660640322,61.1
COMP,1660644181,61.60103317
COMP,1660648424,61.93058376
COMP,1660652541,62.1245141
COMP,1660656416,61.67360317
COMP,1660660411,61.04660886
COMP,1660664150,60.67695347
COMP,1660668504,60.93528407
COMP,1660672573,60.81015923
COMP,1660676324,61.0113822
COMP,1660680202,60.75553634
COMP,1660684109,61.13526837
COMP,1660687814,61.22487423
COMP,1660691903,61.00561173
COMP,1660695555,61.62786201
COMP,1660699610,61.91982977
COMP,1660704306,61.79665075
COMP,1660708223,62.44402874
COMP,1660711835,62.76184072
COMP,1660715743,62.83967084
COMP,1660720045,63.21511069
COMP,1660723861,61.66392248
COMP,1660727477,61.43189494
COMP,1660731653,61.83654688
COMP,1660735401,61.31542844
COMP,1660739525,60.34810183
COMP,1660743662,59.72910616
COMP,1660747793,58.95785283
COMP,1660751407,58.8146107
COMP,1660755427,59.40552954
COMP,1660759420,59.45653939
COMP,1660763627,60.05760099
COMP,1660767448,59.44543068
COMP,1660771672,58.92304615
COMP,1660776028,58.64
COMP,1660780067,58.37297399
COMP,1660783838,58.5721271
COMP,1660787501,58.91
COMP,1660791743,59.12
COMP,1660795561,59.20392284
COMP,1660799444,59.26037574
COMP,1660803179,59.08151166
COMP,1660807678,58.92814165
COMP,1660812268,59.16
COMP,1660815947,58.93755373
COMP,1660819932,59.38762452
COMP,1660823935,59.16957538
COMP,1660827884,59.46863316
COMP,1660831863,59.54663722
COMP,1660835825,59.19279807
COMP,1660839979,59.26600765
COMP,1660844070,59.27043641
COMP,1660848284,58.74879576
COMP,1660852074,59.09255249
COMP,1660856065,58.99371463
COMP,1660859875,58.92021495
COMP,1660863717,58.81
COMP,1660867594,56.51428018
COMP,1660871880,54.01958029
COMP,1660875662,53.91292086
COMP,1660879393,53.81623929
COMP,1660883045,53.8797234
COMP,1660887131,54.07833059
COMP,1660891410,51.80837311
COMP,1660895884,51.61907839
COMP,1660900296,51.48840761
COMP,1660904522,51.81344857
COMP,1660908325,51.36583109
COMP,1660912134,51.88076333
COMP,1660916167,52.21912538
COMP,1660920292,51.68325205
COMP,1660924005,51.60978614
COMP,1660927705,52.09023933
COMP,1660931930,52.10310912
COMP,1660935971,51.57
COMP,1660939997,52.02233256
COMP,1660944116,51.59429685
COMP,1660948313,50.29
COMP,1660952277,50.25776367
COMP,1660956043,50.61853271
COMP,1660959758,51.14773336
COMP,1660963994,51.14862623
COMP,1660968196,50.96
COMP,1660972044,51.04566873
COMP,1660975800,51.55667221
COMP,1660979781,51.90030218
COMP,1660983844,51.91592245
COMP,1660987946,51.64
COMP,1660991913,51.69500569
COMP,1660995824,51.52
COMP,1661000207,51.41
COMP,1661004043,51.09820679
COMP,1661008030,50.89454023
COMP,1661012269,50.89846324
COMP,1661016158,50.5202298
COMP,1661020200,50.15931019
COMP,1661024123,48.50306288
COMP,1661028037,48.93040433
COMP,1661031932,48.38
COMP,1661035880,49.37594163
COMP,1661039679,49.66749112
COMP,1661043481,49.9233035
COMP,1661047560,50.07352011
COMP,1661051656,50.06
COMP,1661055818,49.68049849
COMP,1661059625,49.66858396
COMP,1661063548,49.74740137
COMP,1661067424,49.40824414
COMP,1661071500,51.03537869
COMP,1661075248,50.51561645
COMP,1661078970,50.72
COMP,1661082857,50.77692778
COMP,1661087316,50.70913762
COMP,1661091533,50.58
COMP,1661096088,50.59813719
COMP,1661099880,50.63408492
COMP,1661103905,50.89740541
COMP,1661107532,50.96367747
COMP,1661111269,51.03218424
COMP,1661115304,50.92
COMP,1661119253,51.24377293
COMP,1661122978,51.22361962
COMP,1661126885,51.1287922
COMP,1661130899,50.59630174
COMP,1661135105,50.47149555
COMP,1661139249,50.86658215
COMP,1661143176,50.34
COMP,1661147287,51.30911655
COMP,1661151232,49.71819653
COMP,1661155184,49.6224211
COMP,1661159403,48.51863522
COMP,1661163799,48.73574905
