block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WBTC_collateral,WETH_collateral,ZRX_collateral,UNI_collateral,AAVE_collateral,MKR_collateral,TUSD_debt,USDC_collateral,USDC_debt,WETH_USD_price,USDT_USD_price,WBTC_USD_price,ZRX_USD_price,UNI_USD_price,AAVE_USD_price,MKR_USD_price,TUSD_USD_price,USDC_USD_price,USDT_debt (in USD),WBTC_collateral (in USD),WETH_collateral (in USD),ZRX_collateral (in USD),UNI_collateral (in USD),AAVE_collateral (in USD),MKR_collateral (in USD),TUSD_debt (in USD),USDC_collateral (in USD),USDC_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11845759,1613184976,0x9d02F545eda2b7C610C97E54b826684A77bbD678,1.3665806866480531e+19,9.566064625876945e+18,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,52950819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858.8279574867656,0.9986509991821824,47791.65761021032,1.838575616987568,22.95429161247654,520.7327462140065,2726.2140169991053,0.994840590196064,0.9976457932741128,0.0,25306.074118282195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25402.383865028623,17781.668369705243
11850759,1613252568,0x9d02F545eda2b7C610C97E54b826684A77bbD678,2.944139131147029e+19,2.0637145161877275e+19,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,7920996681.0,111198230.0,5.000025914269524e+17,0.0,0.0,0.0,0.0,2.9296998050997064e+22,0.0,0.0,1798.5574086187949,0.9974301197872776,47408.48485352898,1.7917033339853436,21.89542725674268,497.1067463222523,2638.052965356776,0.9962484650831416,0.9960911026757888,7900.640668364458,52717.39602694232,899.2833651395415,0.0,0.0,0.0,0.0,29187.089339849615,0.0,0.0,52952.0324632899,37117.09032363589
11855759,1613318625,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.053720128390135e+19,2.073315994085468e+19,1.11,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,7923290921.0,111198370.0,5.00004989499496e+17,0.0,0.0,0.0,0.0,2.9313856752227747e+22,0.0,0.0,1793.9456031075722,0.9990553374704528,48291.53173169611,1.6986221825148398,20.86550182145493,464.1727486985909,2499.8924509694843,0.9977817483004862,0.9962726832363336,7915.80608495623,53699.39613367884,896.9817524444687,0.0,0.0,0.0,0.0,29248.831239667812,0.0,0.0,54782.077974465734,37194.161114422306
11860759,1613384214,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.055054762622313e+19,2.112502508028335e+19,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,7925470783.0,111198536.0,5.000083890212593e+17,0.0,0.0,0.0,0.0,2.9329552303959505e+22,0.0,0.0,1756.752425610267,0.9994898397275904,47452.68330230814,1.646035019753416,19.95825312518127,456.70235426038056,2374.272097322541,1.000979689587273,0.9996654998367576,7921.42752266637,52766.68912488311,878.3909502385793,0.0,0.0,0.0,0.0,29358.286160951073,0.0,0.0,53669.748646089465,37111.4390508655
11865759,1613451207,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.0486850782653088e+19,2.1076431477173424e+19,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,8996036439.0,111198667.0,5.000141638332159e+17,0.0,0.0,0.0,0.0,2.936027401923809e+22,0.0,0.0,1821.6724403298488,0.9997719860773558,49506.901487467934,1.626734167589035,20.82514014795778,461.3318519407817,2558.400168803156,0.9988084051787708,1.0001270901798576,8993.985217443293,55051.01452706752,910.8620220295431,0.0,0.0,0.0,0.0,29325.288468766896,0.0,0.0,55537.05586320761,38394.354362467355
11870759,1613517471,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.104949799734899e+19,2.201225906163674e+19,1.06,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9485618020.0,111198800.0,5.0001853361568954e+17,0.0,0.0,0.0,0.0,2.938455774143902e+22,0.0,0.0,1778.0622359173174,1.0007236282841043,49169.52908123855,1.5567910110901904,20.1811572127785,428.1091166650185,2485.8343275939737,1.0002635986094954,1.0043395637850805,9492.482081491482,54675.92630398829,889.0640718808112,0.0,0.0,0.0,0.0,29392.3034700003,0.0,0.0,55207.939833276614,39139.166564725056
11875759,1613583605,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.1643280565747937e+19,2.1468995312921326e+19,1.11,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9488652461.0,111198959.0,5.000239243098562e+17,0.0,0.0,0.0,0.0,2.9402774321709382e+22,0.0,0.0,1816.3961435206857,0.9996955981758956,51358.37570567498,1.59272517133105,20.830435635848705,433.38886503075815,2536.667022760958,1.00135115455407,1.000971718362118,9485.764097882578,57109.97914401949,908.2415277845021,0.0,0.0,0.0,0.0,29442.502014136455,0.0,0.0,57476.73278796761,38996.20029165397
11880759,1613650119,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.0557059660784538e+19,2.048144437221519e+19,1.12,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9494529419.0,111199104.0,5.000262302605892e+17,0.0,0.0,0.0,0.0,2.941404875633521e+22,0.0,0.0,1904.893318138719,1.0007690281257633,51392.1081219176,1.5440714987704762,21.09174450962919,463.81021346773065,2617.234783246648,1.0019509409171783,0.9959037002170182,9501.830979164099,57147.56375828359,952.4966249174889,0.0,0.0,0.0,0.0,29471.433827593817,0.0,0.0,58207.93876979466,39014.96653046259
11885759,1613717093,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.364539644766391e+19,2.421637307926565e+19,1.15,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9497401280.0,0.0,3.031205135522623e+19,0.0,0.0,0.0,0.0,2.9421065871659998e+22,6361099987.0,7361380697.0,1917.6973771593275,1.00387290886987,51652.230996752456,1.5566348470102809,20.74604874368304,429.88751448781466,2541.398304010599,1.003200491713028,1.001626747372595,9534.183849658026,0.0,58129.34138023618,0.0,0.0,0.0,0.0,29515.227749170695,6371.447889690667,7373.355803707516,64521.68852117084,46439.67513841948
11890759,1613782528,0x9d02F545eda2b7C610C97E54b826684A77bbD678,3.3545104359654535e+19,2.490963474128907e+19,1.11,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9501906229.0,0.0,3.354510402436737e+19,0.0,0.0,0.0,0.0,2.9442425221676246e+22,0.0,9363743857.0,1945.3733416930324,1.0118245377811963,55755.24653412661,1.5433557894374856,19.988169100731668,416.9224523987645,2542.99738722803,1.0040482250208886,0.9974547370760528,9614.261878198195,0.0,65257.75111332394,0.0,0.0,0.0,0.0,29561.61478413428,0.0,9339.910666931439,65257.75176558266,48458.53937701438
