block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,UNI_debt,DAI_collateral,WETH_USD_price,UNI_USD_price,DAI_USD_price,UNI_debt (in USD),DAI_collateral (in USD),totalCollateral (in USD),totalDebt (in USD)
11556887,1609350865,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,4.087081274768241e+19,2.5681862798798238e+19,1.27,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,2.987020672241438e+22,732.0868622834124,5.13531924466076,1.0026058594748208,0.0,29948.04428361684,29920.98506342371,18801.3543539653
11561887,1609416890,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,4.2198232355278864e+19,2.8069526453682573e+19,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.500117163856416e+21,3.1370043643644533e+22,732.0868622834124,5.13531924466076,1.0026058594748208,23109.53827478005,31451.78956909887,30892.771518882473,20549.331547257716
11566887,1609483306,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,4.938701845965808e+19,3.0206714643572314e+19,1.31,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.5002364624957295e+21,3.6345400595294015e+22,734.3014765305703,5.132487004559024,1.0059306335334244,23097.405161202,36560.95184685021,36264.960576369456,22180.83516391275
11571887,1609550014,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,5.064909375152077e+19,2.8761223501931303e+19,1.41,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.5003750652309563e+21,3.635423144809027e+22,722.1076588046832,4.560369279507186,1.001961878179515,20523.3721937394,36425.55402150132,36574.09850948957,20768.699767337843
11576887,1609615266,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,4.652213392010351e+19,2.9516768031925133e+19,1.26,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.5005293195523465e+21,3.6363627812867768e+22,779.3952498481433,5.147121796621181,1.001421395825346,23164.772557000575,36415.31492163541,36259.13019012786,23005.228794951978
11581887,1609681942,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,4.1576612767435964e+19,2.7006202445193085e+19,1.23,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.5006584884454894e+21,3.6371745278428984e+22,873.1658065316615,5.305312873603935,1.005552407156039,23877.401418444682,36573.69601719057,36303.276619932796,23580.892539414348
11586887,1609748411,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,3.45011103675658e+19,2.4375761519577383e+19,1.13,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.500793894992937e+21,3.637897552919106e+22,1069.548500083393,5.7211637833483255,1.0002988931414452,25749.779028348836,36389.84895546954,36900.610844841605,26071.05917165448
11591887,1609814931,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,3.3676525546384548e+19,2.2999063516033634e+19,1.17,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4.5009386275504275e+21,3.638509257670588e+22,1094.1909643087686,5.528531936291718,0.9979173594386116,24883.582945701553,36309.31550707576,36848.54996216739,25165.36748680746
11596887,1609880538,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.937820824674651e+19,1.3175830296023577e+19,1.18,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,2.250529816834657e+21,2.1086645710429406e+22,1096.387997639774,6.402479370414072,1.0001641950135556,14408.970724785653,21090.108032507673,21246.034937496963,14445.82219549876
11601887,1609947173,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.858930247986772e+19,1.2296939680017064e+19,1.21,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,2.2505626659251453e+21,2.108990249125301e+22,1145.67434830362,6.219157560050738,1.0049820715215625,13996.60381815631,21194.97389384721,21297.287004041318,14088.288354032475
