block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,UNI_debt,DAI_collateral,WETH_USD_price,UNI_USD_price,DAI_USD_price,UNI_debt (in USD),DAI_collateral (in USD),totalCollateral (in USD),totalDebt (in USD)
11606887,1610013710,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.768759644185963e+19,1.0373970678575366e+19,1.36,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9759943655240764e+21,2.1094576528761905e+22,1194.4528041332255,6.22201981728703,1.001941017445476,12294.676101138313,21135.521469809162,21126.999168356095,12391.218367020207
11611887,1610080545,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.815953837773702e+19,9.997955703913998e+18,1.45,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9760250202440005e+21,2.109856453856555e+22,1166.302099964681,5.886034982896325,1.001365340294198,11630.952396234605,21127.37125887979,21179.5077443439,11660.636732828756
11616887,1610146251,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7492372422559842e+19,9.62338405325824e+18,1.45,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9760541685047136e+21,2.1104884972772928e+22,1188.706762999755,5.866415674213949,0.9985693990005068,11592.355147211863,21074.69230323669,20793.301399607295,11439.381707052065
11621887,1610213079,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7261028442603379e+19,9.811255719990495e+18,1.41,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9760836361087293e+21,2.1109235013747453e+22,1214.9485016773249,6.081927676867551,1.000882982074366,12018.397758254747,21127.87408986817,20971.260643750666,11920.170436575536
11626887,1610278883,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6287790051012446e+19,9.337129834727326e+18,1.4,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9761121026856667e+21,2.1112659840799607e+22,1301.7040231863828,6.073512242119702,1.0036111892100883,12001.941047462302,21188.901650212967,21201.88183821804,12154.179470878165
11631887,1610345695,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.9653075687103373e+19,9.721626119773125e+18,1.62,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9761392741170474e+21,2.1115080610133536e+22,1084.4166927338197,5.342349475596075,1.0010896334398065,10557.226614784016,21138.08830805055,21312.12333865608,10542.293644799089
11636887,1610411497,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.9973552674828624e+19,9.588398154986226e+18,1.67,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9761635562167452e+21,2.1117036541030538e+22,1053.5731098057306,5.118640379409826,1.0098647311777296,10115.270575169152,21325.350429778096,21043.598005487762,10102.078462204368
11641887,1610477312,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.9080636960569934e+19,1.0268915339692962e+19,1.49,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9761785124263997e+21,2.111915543718024e+22,1126.4208253078198,5.707483581897236,1.0010959250405862,11279.006414571779,21142.30044845988,21492.826832524075,11567.120091953077
11646887,1610544696,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.993279336001934e+19,1.067857669187024e+19,1.49,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.97619306594927e+21,2.112195386768107e+22,1070.5894313739395,5.794633171866455,0.999618367950862,11451.313893962113,21113.893053144748,21339.837908997346,11432.371348432365
11651887,1610609293,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.868792479701655e+19,1.1228261216162806e+19,1.33,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9761986634785507e+21,2.1127507285482775e+22,1145.8614270936162,6.389787953245569,1.0013364704249008,12627.490413115238,21155.743574121698,21413.772177327566,12866.031420932215
11656887,1610677101,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7228946885575723e+19,1.1254473290634488e+19,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9762025041489544e+21,2.113652810619776e+22,1224.9662571689196,7.093904879707412,1.0032195272864484,14018.992587472274,21204.57773517645,21104.87858138581,13786.350023236102
11661887,1610742153,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.8812276532506292e+19,1.2107919669340066e+19,1.24,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9762063103807966e+21,2.1139517987094016e+22,1135.732965064346,6.995817338965026,0.9997769401286952,13825.178371534077,21134.80260893237,21365.722605873783,13751.363506820508
11666887,1610808890,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7182576472499937e+19,1.2929700168322484e+19,1.06,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.9762125293540847e+21,2.1142613506734147e+22,1230.030416728044,8.098370639757409,1.000824969423946,16004.101525641845,21160.055516419507,21135.091698930584,15903.924486210364
11671887,1610875385,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.950988011887712e+18,6.843150513067997e+18,1.16,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.881092316818687e+20,1.1991175802112444e+22,1206.583918836399,8.23718420079686,1.004892217254152,8139.237751871412,12049.839239269108,12006.702111677505,8256.8353632449
11676887,1610941654,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.990908863555736e+18,6.947478599621707e+18,1.15,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.88112541686026e+20,1.1993740353247677e+22,1202.1863009274782,8.494042634977552,1.002555253022937,8393.070057237137,12024.387394541633,12010.933769581627,8352.163598452036
11681887,1611008196,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.78199864590558e+18,7.362551044402416e+18,1.06,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.881158019258994e+20,1.199553223618949e+22,1235.187253488599,9.19332067279572,1.0009925879666537,9084.065428961492,12007.438857140738,12082.600041065307,9094.129203205037
11686887,1611074383,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,8.413391368043914e+18,6.301720348952602e+18,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.88119576046302e+20,1.1997960867986136e+22,1423.7288305352497,9.05934209804584,1.0031258485261532,8951.713273179472,12035.464676282174,11978.387853260527,8971.940942774472
11691887,1611140571,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.216881876560473e+18,6.067080816966768e+18,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.881239016343158e+20,1.1999736643616854e+22,1308.231460307329,8.105145221739152,0.9992383498474257,8008.887719817622,11990.597042371392,12057.814836852862,7937.145996983017
11696887,1611206432,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.289107281358789e+18,6.258804884202511e+18,1.19,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.881283162566784e+20,1.2001963416074353e+22,1278.1958885942208,8.209494281038493,1.0006082515854264,8112.033761241397,12009.263629350411,11873.298735743443,7999.978670501079
11701887,1611272939,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.0472600865634255e+19,6.616981174719102e+18,1.27,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.88137207316352e+20,1.2005744897232667e+22,1135.9132209861073,7.399738599700207,1.0022666032388816,7311.957034778775,12032.957157501922,11895.9657813845,7516.3163993796115
11706887,1611339649,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.692968298896798e+18,6.965439967769097e+18,1.11,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.881458145063402e+20,1.200813360119927e+22,1238.2972220566542,8.696482027163135,1.0018969774822577,8593.392316070865,12030.912760244686,12002.775718007117,8625.284962490863
11711887,1611405904,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,9.778923091636668e+18,7.22227888445859e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.881543825669985e+20,1.2010888425130342e+22,1227.4651829472386,8.959151379210459,0.9996201560881952,8853.024699447984,12006.32616228669,12003.28762170278,8865.095872207941
11716887,1611472017,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,6.894103752169249e+18,5.25503875710459e+18,1.05,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,6.88166048581344e+20,9.060148094436557e+21,1315.1135028610263,10.0244800622203,0.9993632334804348,6898.50683350061,9054.378895467718,9066.528934602646,6910.972427526271
11721887,1611538554,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,3.793520949922179e+18,3.056792989455477e+18,0.99,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.6129143797639964e+20,5.436705697018346e+21,1445.696106428764,12.172323368170453,0.9987664766412736,4397.756213200036,5429.999393546553,5484.278466958441,4419.193723014526
11726887,1611604430,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,3.9213274120995543e+18,2.974596209907488e+18,1.05,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.612958965736504e+20,5.438091317934417e+21,1381.818882978644,11.303871107935132,0.99885699456145,4084.0422466944065,5431.875549982687,5418.564264380943,4110.353212086873
11731887,1611671720,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.3877096613041213e+18,1.7003294822723988e+18,1.12,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8065068572082274e+20,3.033877249002528e+21,1282.2226376066744,12.327146246816676,1.0015486750504676,2226.907422468299,3038.575739004239,3061.5753797563098,2180.2009535597062
11736887,1611738277,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.397575139020728e+18,1.8972827368491284e+18,1.01,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.806532650464371e+20,3.034289644695064e+21,1287.9363217233192,13.281043227748876,0.999192405307714,2399.263822315706,3031.83916848315,3087.9241056056317,2443.5793493666188
11741887,1611804072,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.3850941856838723e+18,2.1099495809261194e+18,0.9,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8065703632488448e+20,3.034707638035301e+21,1272.5860899100448,14.922433327264285,1.004182640083941,2695.8425796592505,3047.400727845189,3035.2376838266214,2685.092487098108
11746887,1611870798,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.2632849821659395e+18,1.9854193621779753e+18,0.91,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8066051225432097e+20,3.0351144789741257e+21,1349.435874702269,14.693377222064813,0.9997071647454836,2654.5130556842005,3034.2256904531887,3054.1579496096037,2679.196113651457
11751887,1611938096,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.1742449807831148e+18,1.857410695595719e+18,0.94,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8066354765093156e+20,3.035467634536004e+21,1375.0441373669296,14.342357548052416,0.996837533723076,2591.1411963092655,3025.8680705070897,2989.682814025294,2554.0216876615236
11756887,1612004602,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.2512131464501304e+18,2.0803749938932165e+18,0.87,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8066651485967047e+20,3.0359950507843e+21,1350.651261507979,15.319328137028789,0.9979735513536654,2767.6896245086796,3029.8427627233596,3040.603876176215,2809.861109911527
11761887,1612071456,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.2532331164736527e+18,2.586205472849878e+18,0.7,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8066944076348598e+20,3.036700794758178e+21,1357.9350810926408,19.15335110104164,0.9974953129723844,3460.4252321718914,3029.094809670797,3059.7442947392733,3511.8991384966303
11766887,1612136982,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.312269590625777e+18,2.470340345403758e+18,0.75,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8067312303944175e+20,3.0374068696704945e+21,1294.9819206253312,17.851204613416197,1.0000578242719622,3225.2328875219946,3037.582505511386,2994.3473154721173,3199.0460850892027
11771887,1612203257,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.3096933445356145e+18,2.707113850289994e+18,0.68,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8067648410032908e+20,3.037869132305547e+21,1317.5925976288097,19.688690338301143,0.9993906028411697,3557.2833468643694,3036.017863487422,3043.2348535526535,3566.873170080522
11776887,1612269967,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.126186882923819e+18,2.4202160804750643e+18,0.7,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8067974478430247e+20,3.038669112145519e+21,1427.4601086517432,18.995319805088315,0.9967924816216276,3432.0695344795627,3028.92252512252,3035.046958912346,3454.7619091956312
11781887,1612336528,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.956197161208139e+18,2.2534504782503683e+18,0.69,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8068380066432473e+20,3.039554579474256e+21,1559.2976216091477,19.36888071006912,0.9995563001198438,3499.6429813092136,3038.205929471615,3050.2935808704174,3513.7999711497955
11786887,1612403151,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.8078929648978673e+18,2.174850008234312e+18,0.67,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.806880510062563e+20,3.040416253589817e+21,1687.8205630871355,20.38414616887954,1.0016723336421895,3683.1716426814896,3045.5008439769554,3051.3989220151893,3670.756565528098
11791887,1612469578,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.8397585255315635e+18,2.311959866356885e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.80692721954139e+20,3.040906975177268e+21,1662.5762305084772,21.20309481765793,1.0033776294822645,3831.2449164543104,3051.1780322294508,3058.738794424101,3843.8095196945123
11796887,1612536421,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7632121436206945e+18,2.172425311024481e+18,0.65,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8069686748509775e+20,3.0416127538524423e+21,1742.7149292356626,20.761248716232483,0.998425367087331,3751.4926081022168,3036.8233303026327,3072.7761260973994,3785.9180221717907
11801887,1612602772,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7882474343401495e+18,2.15914569724026e+18,0.66,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8070054438001675e+20,3.0422710204357196e+21,1706.3359575405357,20.21821594350627,1.000554409901231,3653.4426273843173,3043.957685611677,3051.3508981942055,3684.227940769987
11806887,1612669229,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.8624781291146685e+18,2.0825969135392888e+18,0.72,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8070458091964957e+20,3.0427108765185716e+21,1629.640001455131,18.721516211494585,1.0019677408319183,3383.0637411785547,3048.6981429500192,3035.168861040578,3393.8832372106176
11811887,1612735003,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.909369020904959e+18,2.0771520359325857e+18,0.74,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.807088026280858e+20,3.0431175897158375e+21,1586.1732303751298,18.15764606406085,0.9968371768129692,3281.246478781011,3033.492746842223,3028.5900278670174,3294.7229548154673
11816887,1612801538,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7468010435609206e+18,2.0424917745612705e+18,0.68,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8071311672859378e+20,3.043630549414527e+21,1733.5972587864478,19.72000384587984,1.001602449816502,3563.663356888802,3048.5078146299356,3028.249500762518,3540.858141473286
11821887,1612868846,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.74696716182295e+18,1.9920375129710328e+18,0.7,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.80717431206647e+20,3.044346608683348e+21,1746.0605206148318,19.14878239436505,1.0000779080229265,3460.518765044719,3044.583787708734,3050.310392069595,3478.2180569824764
11826887,1612935256,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7118738601575764e+18,2.0710797285023263e+18,0.66,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8072247283243903e+20,3.0450619559769077e+21,1790.1129499986257,20.38691203609552,1.0026005585707198,3684.373156580597,3052.9808179448964,3064.447565832214,3707.466642471652
11831887,1613001233,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.745341048466179e+18,2.168243804443045e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8072748985908435e+20,3.0460222803172063e+21,1748.55858616236,20.639765984087056,1.000307730375204,3730.173097582968,3046.959633896408,3051.831076077153,3791.301321152227
11836887,1613068153,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7049943975568502e+18,2.131416453732966e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8073249527341534e+20,3.046962358919472e+21,1797.7168473062502,20.931495108397808,0.9980781621324692,3783.0013407440233,3041.1065912771596,3065.09715305072,3831.6832675014957
11841887,1613134117,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7156733622970775e+18,2.3118335660860646e+18,0.59,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8073729929613017e+20,3.047488538428279e+21,1775.7076058772857,22.95583198741596,1.001818884153168,4148.975076501277,3053.031567037788,3046.534238631976,4105.140446821434
11846887,1613200300,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6529652574054748e+18,2.258372308899464e+18,0.59,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8074207252779952e+20,3.0480635354353353e+21,1832.77678488772,22.69725206762088,1.00020265676921,4102.34837938768,3048.6812461437735,3029.5163499987084,4139.092339384216
11851887,1613267265,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6652872373592013e+18,2.1836690460768812e+18,0.61,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8074730779216947e+20,3.048497930594954e+21,1839.6089344543088,22.267796868910125,0.9996351530511406,4024.844334518406,3047.3856954263724,3063.47728027872,4017.0970870543483
11856887,1613333114,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6878351335661793e+18,2.1044844817815035e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8075352681210597e+20,3.0492905068899163e+21,1797.3227720346867,21.091303963282293,1.0010751152590796,3812.327576429423,3052.56884564324,3033.5845209987015,3782.437882499513
11861887,1613399235,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.691943568715801e+18,2.0584089245500577e+18,0.66,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8076037348933095e+20,3.0504455078267847e+21,1800.7103139837598,20.65471276068041,1.0012052222569066,3733.5535929354414,3054.121972646298,3046.700234865033,3706.5981808335077
11866887,1613466165,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6952694210016783e+18,2.1029553529833464e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8076755985241368e+20,3.051540952291304e+21,1804.645448243292,21.132472864326683,1.001217978561168,3820.0655533316817,3055.257663749721,3059.36024415672,3795.0888056202616
11871887,1613532948,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7256843772906493e+18,2.0598236458562414e+18,0.67,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8077518425749085e+20,3.052416560857686e+21,1757.3516609456467,20.218201996894887,0.9999144086426772,3654.949191343843,3052.155300381128,3032.634306699677,3619.8345053005837
11876887,1613598339,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6724506924997647e+18,2.0878357771966136e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8078064821152524e+20,3.0531420366963375e+21,1839.627811284936,21.697928633156,1.0011656063245882,3922.5656031493554,3056.700798364177,3076.6868069253173,3840.8407611265898
11881887,1613665456,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.592042248713225e+18,2.004362067538321e+18,0.64,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8078488219775808e+20,3.053983113391623e+21,1915.1940455072645,20.937533622110323,1.0028890783755375,3785.189549384814,3062.8063099637793,3049.0698349315635,3838.742296790021
11886887,1613731656,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.5898110532450179e+18,1.9575277722758587e+18,0.65,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.807892761518019e+20,3.0548598528342496e+21,1933.6610798155828,20.87508268421313,1.0016558399928517,3773.991088087906,3059.9182119511293,3074.15575792051,3785.195265907929
11891887,1613797889,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.5080913928703972e+18,1.9478578884444347e+18,0.62,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.807937115424265e+20,3.055659216606549e+21,2025.3143563276883,21.79701006771272,1.001513630480528,3940.76235066942,3060.2843555349114,3054.3591486346354,3945.02454555265
11896887,1613864304,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.6040699225303124e+18,2.727016827065866e+18,0.47,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8079744914189884e+20,3.0562182499092215e+21,1902.5084927551973,29.253103782254826,1.0023220980558034,5288.886543314906,3063.3150883654466,3051.756650587091,5188.172673379142
11901887,1613931664,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.5645919687342272e+18,2.7361585147847e+18,0.46,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.808002728744615e+20,3.0566785746811664e+21,1955.9341986132752,29.31081689815994,1.003533548261678,5299.403693360694,3067.4794959452397,3060.238938522947,5351.746011894301
11906887,1613997686,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,1.7162929506183334e+18,2.6577988891916575e+18,0.52,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1.8080263926116267e+20,3.0571647176277785e+21,1763.416640581198,26.17133856741217,0.9988188322817956,4731.847085985577,3053.553693354083,3026.539549232574,4686.806788518792
11911887,1614064888,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.5162592723022077e+17,1.342316918595563e+18,0.15,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.04028700280714e+19,3.9932253182611495e+20,1590.6670219891205,23.15436584187361,1.0072338154167504,2093.221125785316,402.2111573130945,400.2530643225464,2135.179255468017
11916887,1614130266,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.518014236977178e+17,1.4256152026030083e+18,0.14,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.040475427849326e+19,3.993738217479666e+20,1579.1611497421372,24.612380626225,1.0026916419951666,2225.076222722619,400.4487930983536,397.63502575319507,2251.2761424324362
11921887,1614197281,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.4798124132354714e+17,1.3971880324453094e+18,0.14,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.040637129571284e+19,3.994241087174434e+20,1594.0258684654084,24.741206979826032,0.9998592973383776,2236.7627445222342,399.36790868223073,395.2885135638972,2227.1538668281096
11926887,1614263287,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.4241224329769354e+17,1.3982030420613064e+18,0.14,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.040788704982742e+19,3.994992395956247e+20,1632.338280187646,25.50599304877361,1.0003449154759525,2305.942938647208,399.6370330659925,395.69878432098625,2282.3403490314877
11931887,1614329930,0xFB69153ae2eFaF8b672627b25Be1E81C37aB21C7,2.7525959534680717e+17,1.390492405695641e+18,0.16,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9.040912722459055e+19,3.995719275237073e+20,1445.5156302856606,22.38536304172633,1.0069208281259838,2023.841135208083,402.3372961580669,397.89204745991583,2009.9785062265591
