block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,DAI_debt,LINK_collateral,USDC_collateral,USDC_debt,GUSD_debt,WETH_USD_price,USDT_USD_price,DAI_USD_price,LINK_USD_price,USDC_USD_price,GUSD_USD_price,USDT_debt (in USD),DAI_debt (in USD),LINK_collateral (in USD),USDC_collateral (in USD),USDC_debt (in USD),GUSD_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11755440,1611984775,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.051130477352212e+19,1.694135652621546e+19,1.36,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,0.0,0.0,0.0,0.0,1343.178085454074,0.9980310882875094,0.9960178215820747,22.462172619426184,0.9982011586945108,0.9955076610106492,0.0,0.0,0.0,0.0,0.0,0.0,40982.11593040519,22755.258823876968
11760440,1612052941,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.2180446045555646e+19,1.635646135471749e+19,1.48,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4572569921.0,0.0,1.7717192961662038e+21,1187163985.0,18083118415.0,0.0,1382.274181273939,0.995319321069382,0.9936479062388718,23.49899812209637,0.9947029897596572,0.9886559804795716,4551.167189311998,0.0,41633.628413491526,1180.8755652144887,17987.331951578413,0.0,44482.199710650595,22609.114227630937
11765440,1612117918,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.1355551198789812e+19,1.7445110498948932e+19,1.35,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4574143265.0,0.0,1.7717197236538253e+21,1187392052.0,18088828600.0,0.0,1298.729539158637,0.9974465105981496,0.997341286572608,22.51384492810584,0.999004645430574,0.9804100811359756,4562.463238650277,0.0,39888.22311440876,1186.2101758953415,18070.823801797425,0.0,40722.38055846934,22656.480318871447
11770440,1612184230,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.031597974062072e+19,1.700033381354043e+19,1.34,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4574907424.0,0.0,1.7717202867466383e+21,1187557196.0,18091007375.0,0.0,1326.9910314977324,0.9964427178292834,0.995811854922616,22.131758507466,0.9976141532053556,0.9931058210587224,4558.633187387925,0.0,39211.285529055014,1184.7238664704664,18047.84500304247,0.0,40229.03322687065,22559.29050303579
11775440,1612250424,0xCcec96A03DDA5C438996701f26Bef600366a137B,3.0308566698221216e+19,1.823785580949683e+19,1.25,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4575713597.0,0.0,1.7717207533060814e+21,1187765640.0,18095227262.0,300040.0,1411.9101779862294,0.9965030725219908,0.9964228921165036,23.292701612265,0.9936919157637396,0.9961665929024694,4559.71265839115,0.0,41268.16284701592,1180.2731142899443,17981.08104415703,2988.898245344569,42792.973801393025,25750.214242073856
11780440,1612317526,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.8557235622908633e+19,1.6922480633368918e+19,1.27,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4578753441.0,0.0,1.7717218400416524e+21,1188093798.0,18103784022.0,300142.0,1517.016998326471,1.0019936491070762,0.9953621387354318,23.73508341718609,1.0023283048877203,1.0067900629852515,4587.881868709172,0.0,42051.96566543905,1190.8600425969537,18145.935150824655,3021.799830845194,43321.81186516662,25671.69077467115
11785440,1612384120,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.7667493740156527e+19,1.589135022743309e+19,1.31,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4581755938.0,0.0,1.7717222944398262e+21,1188473933.0,18114717027.0,300293.0,1613.5089671571095,0.9993603512306224,0.9999142918129774,24.69064890162656,0.9990282464907124,1.0108387693470415,4578.82522345267,0.0,43744.97312319798,1187.3190292849104,18097.11398715926,3035.4780656353114,44641.74924850575,25640.83609219746
11790440,1612450615,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.691634993832022e+19,1.60674672012708e+19,1.26,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4585628514.0,0.0,1.771723016901284e+21,1188742917.0,18121181908.0,300412.0,1635.406156704449,1.0008608973406978,1.00094362278019,23.563396758876223,0.998010403451096,0.9878163680600724,4589.576269393131,0.0,41747.81239407812,1186.3777981948028,18085.128067013782,2967.518907616625,44019.1644051403,26276.83478360507
11795440,1612517424,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.91345352799364e+19,1.7366106081856274e+19,1.26,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4588747127.0,0.0,1.771723455846615e+21,1189096437.0,18130749580.0,624608.0,1666.2171363449131,0.9999994613422484,1.0008190205848038,26.826733799739703,1.0014750036274516,1.0038286531431544,4588.74465523579,0.0,47529.55351675202,1190.8503585579647,18157.492501398916,6269.994073824394,48544.461942875474,28935.70354517254
11800440,1612584126,0xCcec96A03DDA5C438996701f26Bef600366a137B,2.7238796114799178e+19,1.7294995619283894e+19,1.19,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,4590525332.0,0.0,1.7717248535752008e+21,1189359607.0,18136847058.0,624776.0,1694.5659181026235,1.0002874413256846,0.998926231184877,25.193818955269297,1.0017229153053318,1.0218909626612178,4591.844838687019,0.0,44636.51519952461,1191.4087728704437,18168.09530938669,6384.52948087625,46157.93554628485,29307.510130172665
