block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_collateral,WBTC_collateral,WETH_collateral,ZRX_debt,UNI_debt,BAT_debt,ENJ_debt,LINK_collateral,TUSD_collateral,USDC_collateral,USDC_debt,WETH_USD_price,USDT_USD_price,WBTC_USD_price,ZRX_USD_price,UNI_USD_price,BAT_USD_price,ENJ_USD_price,LINK_USD_price,TUSD_USD_price,USDC_USD_price,USDT_collateral (in USD),WBTC_collateral (in USD),WETH_collateral (in USD),ZRX_debt (in USD),UNI_debt (in USD),BAT_debt (in USD),ENJ_debt (in USD),LINK_collateral (in USD),TUSD_collateral (in USD),USDC_collateral (in USD),USDC_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11715814,1611457348,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,4.500001688474845e+18,1.5688813315679053e+18,2.37,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,4.500001621801194e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0981476533825,0.9997974599515096,32102.51606367754,0.5570661712305276,9.82200207970372,0.325408367116234,0.409431055792248,24.113873139001825,0.9995364900367508,1.000277586503808,0.0,0.0,5670.443708068901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5670.4437920842465,1976.9444597966897
11720814,1611524300,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,9.103086974225708e+18,5.62908641843488e+18,1.32,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,193.0,8017118.0,4.5000142047278295e+18,0.0,0.0,2.4000533401200704e+22,0.0,0.0,0.0,3636050394.0,0.0,1348.9322379258936,1.0014493127787427,31777.73178206816,0.5409687587162546,11.348909532247657,0.3137239123051374,0.4021494981463433,24.29539313858683,0.9989678188726748,1.0012669325424668,0.00019327971736629734,2547.658254691907,6070.214231881821,0.0,0.0,7529.541236034811,0.0,0.0,0.0,3640.657024570208,0.0,12279.447484176335,7593.256139897615
11725814,1611590027,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,9.010874825973807e+18,5.301349529692006e+18,1.39,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,193.0,8017133.0,4.500096551984652e+18,0.0,0.0,2.4003259164728324e+22,0.0,0.0,0.0,3636786354.0,0.0,1421.6465170271797,0.9967337509280207,34439.67342446863,0.5510005086654272,11.612808088856903,0.3142273856783112,0.4114657486163338,24.25179020253784,0.9980821992676264,0.9996460245040604,0.000192369613929108,2761.074423205305,6397.546589415001,0.0,0.0,7542.481375091545,0.0,0.0,0.0,3635.4990207467163,0.0,12810.278811713559,7536.645094430319
11730814,1611657780,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,7.726003429104409e+18,4.894711664789029e+18,1.3,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,7.726003269968741e+18,0.0,0.0,0.0,1.2998965054989958e+22,0.0,0.0,0.0,1000018903.0,1329.3510481219478,1.0012178970621324,32211.628387537257,0.5154685546284977,12.653071654937976,0.2957128790872017,0.425939971124312,23.111358018204587,1.0039581314073929,1.0004635095847698,0.0,0.0,10270.57054472654,0.0,0.0,0.0,5536.778800168363,0.0,0.0,0.0,1000.4824213464915,10270.570756273708,6506.790081842019
11735814,1611723477,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,4.6018713763159066e+18,2.867825577566526e+18,1.29,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,2090592.0,1.8259873821699843e+18,0.0,0.0,1.300011446547511e+22,0.0,0.0,2.971505837332758e+21,0.0,0.0,1301.1729468079732,1.00017927543895,31711.800300435243,0.5698236948988377,13.75091293953685,0.2913810760718426,0.4054285090055027,22.10858490341517,1.0027866060219204,0.9989463122160228,0.0,662.9643601368753,2375.925382892295,0.0,0.0,3787.9873420072645,0.0,0.0,2979.7862533932407,0.0,0.0,5987.830539552231,3731.5370576935143
11740814,1611790114,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,6.070255709061282e+18,4.725566607463703e+18,1.05,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,3.6846014860971796e+18,0.0,0.0,1.7992567491479028e+22,1.0230841821410728e+21,0.0,2.9726875591172487e+21,0.0,0.0,1235.0528201044715,1.0020747524199969,30479.47292231453,0.5883308357929485,15.401405402758185,0.306860080696179,0.3713919054428409,20.960458608587988,0.9981499922441552,0.9968834374146256,0.0,0.0,4550.677456365448,0.0,0.0,5521.200712366702,379.9651838338035,0.0,2967.1880640771788,0.0,0.0,7497.086432231405,5836.324365139565
11745814,1611856987,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,1.7445157840524595e+19,1.222171575086703e+19,1.19,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,9.374610409307388e+18,4.0001168364444986e+21,0.0,1.7994287500121912e+22,2.1448993159791094e+22,0.0,2.9738968693308496e+21,7883360084.0,0.0,1341.6036718889145,1.000883713847769,32190.5647942721,0.6629460309716747,14.373436104598708,0.3064721076425765,0.3840220415125673,23.48911817827853,0.9972512808836984,0.9981931869449217,0.0,0.0,12577.011747654833,2651.861580143852,0.0,5514.747215688831,8236.886141612067,0.0,2965.7224621562104,7869.116326082345,0.0,23404.487815529483,16396.69872814579
11750814,1611923278,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,1.708095077970485e+19,1.1234869279080202e+19,1.26,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,9.374742939103121e+18,4.000477062844636e+21,0.0,1.799599006606771e+22,2.1449302887194757e+22,0.0,2.975012974729888e+21,7884305866.0,0.0,1412.430006543148,1.001850313900318,36475.97573158255,0.6075764992427233,14.92729665879319,0.3131208415989496,0.3649328292093974,23.40971184911876,0.998100918927087,0.9949992183876504,0.0,0.0,13241.168230817753,2430.5958491439555,0.0,5634.919554893459,7827.554787193279,0.0,2969.3631838979077,7844.878174199167,0.0,24125.64742154171,15868.466489362663
11755814,1611989805,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,1.7446239924016712e+19,1.3587112021253503e+19,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,9.374862960071467e+18,4.000838985974708e+21,2.000011804209613e+20,1.7997700659219878e+22,2.1449614049886215e+22,0.0,2.9755695112746864e+21,7885768021.0,0.0,1347.7142676590015,0.9993855174479652,33410.60559050577,0.5886706979285444,15.351930750124698,0.3008647746345859,0.3444005407758276,22.3607927104862,1.0012812899002703,0.9995820865821028,0.0,0.0,12634.636568636215,2355.1766781734614,3070.4042717657935,5414.874152776926,7387.258678213602,0.0,2979.382078437035,7882.472452733599,0.0,23512.546462599417,18311.544727324483
11760814,1612057551,0x09f1b4C0A59494F2C695924BcC4b9Ce698F22233,1.7286873211690473e+19,1.4163301660844251e+19,1.01,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,9.374980806509971e+18,4.001207773675398e+21,2.00004439912552e+20,1.7999443705132336e+22,2.1449931090066976e+22,0.0,2.976226652383933e+21,7887092804.0,0.0,1370.1448535142003,0.9959487785999224,34042.27582779061,0.6407545515564292,19.346680047988823,0.3174106151302416,0.332734574756272,24.057502360056453,0.9992051255297754,0.9969857664421824,0.0,0.0,12845.081703834043,2563.792092705478,3869.4219071653492,5713.21449844821,7137.133699804774,0.0,2973.8609258003507,7863.319264196562,0.0,23685.5203643502,19405.774879374876
