block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WBTC_collateral,WETH_collateral,UNI_collateral,BUSD_debt,DAI_debt,LINK_collateral,sUSD_debt,USDC_debt,WETH_USD_price,USDT_USD_price,WBTC_USD_price,UNI_USD_price,BUSD_USD_price,DAI_USD_price,LINK_USD_price,sUSD_USD_price,USDC_USD_price,USDT_debt (in USD),WBTC_collateral (in USD),WETH_collateral (in USD),UNI_collateral (in USD),BUSD_debt (in USD),DAI_debt (in USD),LINK_collateral (in USD),sUSD_debt (in USD),USDC_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11975253,1614907035,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,9.199368040126368e+18,6.117579746997088e+18,1.13,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,29361254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.882312008992,0.9983131702331952,46858.48259291324,26.8391386695004,0.9883852376501726,1.0057380953626698,26.523134469630968,1.0139642776093372,0.9938871955304788,0.0,13758.238094651042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13604.782676203711,9047.180480138437
11980253,1614972713,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,9.355010640046156e+18,5.929106058000039e+18,1.18,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9022883459.0,29361292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.102364501002,1.0064322784573745,48529.13577213745,27.706720390051508,1.0024491302188188,1.0032839133838911,27.633415888018003,1.0154070169462244,1.0005990287796926,9080.921157896726,14248.781259133732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14229.928804506242,9018.777244201074
11985253,1615038806,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,9.1304580902293e+18,5.9005061095955e+18,1.16,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9023559352.0,29361310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.7099424864043,1.0026639429241802,47584.64023018021,27.68619143508413,1.0022527627396924,1.0034622413473713,26.77884801173461,1.0167709525988686,1.002279156621383,9047.597599086681,13971.473730367925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14021.735268620563,9061.465898207582
11990253,1615105368,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,8.727282730425389e+18,5.38205402211065e+18,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9025269326.0,29361344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.37167235715,1.0006034224042568,50194.59669270439,30.99887463919624,1.0127821671925223,1.0017977432357008,28.89636085194148,1.024626541465284,1.0047655564374025,9030.71537571576,14737.80820435756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14734.896938701986,9086.907550027483
11995253,1615171957,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,1.4445823463922827e+19,9.611596289842297e+18,1.13,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9027961930.0,48650058.0,0.0,0.0,0.0,0.0,0.0,0.0,7520280689.0,1730.1041007399365,0.9987319129733192,50945.20032841429,33.5123275794134,1.0007944505845787,0.998236359169912,28.55452149911481,0.9894883627782606,1.0008680168823856,9016.513688599198,24784.869507989744,0.0,0.0,0.0,0.0,0.0,0.0,7526.80841959833,24992.77841349808,16629.062155712916
12000253,1615238416,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,1.4198965552163668e+19,9.34046420312463e+18,1.14,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9030035545.0,48650083.0,0.0,0.0,0.0,0.0,0.0,0.0,7524399574.0,1779.2370715252416,0.9996336640270914,51836.71465529127,33.17128717891787,1.0054127699580755,1.0009264780331464,30.921012879571748,1.0113527246813554,1.0020672694129655,9026.727518143223,25218.604704272366,0.0,0.0,0.0,0.0,0.0,0.0,7539.954535090261,25263.32588771947,16618.900175453815
12005253,1615305750,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,1.4420553832173044e+19,9.080935159049776e+18,1.19,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9033304909.0,48650121.0,0.0,0.0,0.0,0.0,0.0,0.0,7530021108.0,1819.8860103630336,1.0014652601963756,54171.60634353892,32.846158534922075,0.9968117519591164,1.0003461412007526,30.560816628376752,1.0012735442917229,0.9979854824722454,9046.541051124883,26354.552033775362,0.0,0.0,0.0,0.0,0.0,0.0,7514.851748493572,26243.764180858754,16526.266856968497
12010253,1615372007,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,1.4704373000527628e+19,9.04175234313331e+18,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9035640387.0,48650145.0,0.0,0.0,0.0,0.0,0.0,0.0,7534401743.0,1825.982413210725,1.0028515438911718,55076.00457511904,32.21187459400027,1.0032030899954392,1.0014244760820668,30.85027450905013,1.0037856091693291,1.0019676301324267,9061.405912148375,26794.55608600205,0.0,0.0,0.0,0.0,0.0,0.0,7549.226658899335,26849.92649625407,16510.080763168287
12015253,1615438174,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,1.5025879963462777e+19,9.207059870541758e+18,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9041359618.0,48650165.0,0.0,0.0,0.0,0.0,0.0,0.0,7543644213.0,1794.4899277258953,0.9970111233165544,55918.225877331766,30.45158552898357,1.0011534952612782,0.9985537059548412,29.373948121449825,1.0020553819831537,0.9995211174630876,9014.336109051113,27204.309154394603,0.0,0.0,0.0,0.0,0.0,0.0,7540.031693521713,26963.790249652295,16521.97620165647
12020253,1615505568,0x57dC4A5D2786CB0fEf99FA526B0fF5038E185460,1.5303348408734323e+19,9.083507836966359e+18,1.26,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,9045844546.0,48650184.0,0.0,0.0,0.0,0.0,0.0,0.0,7551246217.0,1834.4292375403304,1.0022334951787044,58098.00679828035,31.293285413771084,1.0043681800018809,1.003029306788374,30.15862846940516,1.0084393693560183,1.0019125340390445,9066.0483961808,28264.787207695903,0.0,0.0,0.0,0.0,0.0,0.0,7565.688232427218,28072.909753248532,16663.05235555781
