block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WETH_collateral,MANA_debt,GUSD_debt,WETH_USD_price,USDT_USD_price,MANA_USD_price,GUSD_USD_price,USDT_debt (in USD),WETH_collateral (in USD),MANA_debt (in USD),GUSD_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11454754,1607997142,0x60F9c8582bA286EB076F700dBB1376371eF77599,1.0000000522773558e+18,7.040000360473801e+17,1.17,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,1.0000000500593836e+18,0.0,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,732.0868989312295,0.0,0.0,732.0869005549778,515.3891774373358
11459754,1608063097,0x60F9c8582bA286EB076F700dBB1376371eF77599,1.0000011263539762e+18,6.831313339370541e+17,1.21,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,1.0000011224747807e+18,4.637687246326845e+21,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,732.0876840324526,359.82786388068985,0.0,732.0876868723606,500.1114747894599
11464754,1608130080,0x60F9c8582bA286EB076F700dBB1376371eF77599,2.0000027179191593e+18,1.310658685107508e+18,1.26,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,2.0000027136958461e+18,9.237694529142192e+21,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,1464.1757112279022,716.732222992449,0.0,1464.1757143197342,959.5160043048586
11469754,1608196591,0x60F9c8582bA286EB076F700dBB1376371eF77599,2.0000072728521183e+18,1.2325247348645053e+18,1.34,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,2.0000072634469507e+18,9.237713848649689e+21,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,1464.1790420409122,716.733721950172,0.0,1464.179048926312,902.3151658336506
11474754,1608262509,0x60F9c8582bA286EB076F700dBB1376371eF77599,2.0000094993849513e+18,1.2494955354729078e+18,1.32,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,2.0000094963652992e+18,9.237731274248214e+21,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,1464.1806767310998,716.7350739636996,0.0,1464.1806789417474,914.7392660014933
11479754,1608328713,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000014541767735e+18,4.1358749184197156e+18,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000014529312231e+18,3.0058112656346173e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.531810419077,2332.1422715566882,0.0,4392.531819537588,3027.819691822554
11484754,1608394996,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.00002963916688e+18,4.2418140721115827e+18,1.17,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000029597427411e+18,3.0058357237314253e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.54284158824,2332.1612480513536,0.0,4392.542872145156,3105.3763544417934
11489754,1608460891,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000039302470617e+18,4.2018992554456105e+18,1.18,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000039283204594e+18,3.0058653382312903e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.549932418466,2332.184225284747,0.0,4392.549946522869,3076.1552415501837
11494754,1608527840,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000051569225543e+18,4.222381349797461e+18,1.17,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000051553683475e+18,3.0058953955728687e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.558915474849,2332.2075461092004,0.0,4392.558926852992,3091.1499137372225
11499754,1608593517,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000071647916009e+18,4.150000752549067e+18,1.19,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000071632150309e+18,3.0059398880963745e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.573614656633,2332.2420668710397,0.0,4392.573626198496,3038.1610294074467
11504754,1608659605,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.00008942651223e+18,4.0671064669184957e+18,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000089405402438e+18,3.0059913606223603e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.586626221017,2332.2820032619397,0.0,4392.586641675218,2977.475211938937
11509754,1608725504,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000098564312159e+18,3.8678752661981553e+18,1.28,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000098551711776e+18,3.006042725606026e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.59332211392,2332.321856213139,0.0,4392.593331338496,2831.620667334626
11514754,1608792418,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000126642819326e+18,4.251341878924299e+18,1.16,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000126603983759e+18,3.380606393570491e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.613858813697,2622.9374958031462,0.0,4392.613887244705,3112.351536635757
11519754,1608858376,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000149241470871e+18,4.3881629722713713e+18,1.13,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000149222240613e+18,3.380673632090655e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.630417342388,2622.9896646791312,0.0,4392.630431420606,3212.5164615584013
11524754,1608925210,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000156717801132e+18,4.276647759014369e+18,1.16,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000156705479244e+18,3.380749147967787e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.635895723077,2623.048255772739,0.0,4392.635904743769,3130.8776389882164
11529754,1608991608,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000164097062427e+18,4.196912614373499e+18,1.18,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000164077781588e+18,3.3807898076161038e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.641292888768,2623.079802691759,0.0,4392.641307004016,3072.504587134368
11534754,1609057754,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000179694252635e+18,4.2564833974054067e+18,1.16,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000179667572796e+18,3.3808444797010483e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.652705970097,2623.1222215494668,0.0,4392.6527255020565,3116.115574767963
11539754,1609123760,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.00019361777843e+18,3.9780868117974876e+18,1.24,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000193598138414e+18,3.3809020300796925e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.66290435417,2623.166873611396,0.0,4392.662918732367,2912.3050919398465
11544754,1609189011,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000206851733219e+18,3.821836118747979e+18,1.3,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000206832345329e+18,3.380958912526369e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.672592943185,2623.2110074397306,0.0,4392.672607136805,2797.916012335623
11549754,1609255824,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000215998078367e+18,3.6636069097844224e+18,1.35,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000215983441488e+18,3.381002388633085e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.679292340459,2623.244739586334,0.0,4392.679303055925,2682.078487223907
11554754,1609323101,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000224682074369e+18,3.7083323913469716e+18,1.33,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000224671505043e+18,3.381046957630932e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.6856527576465,2623.2793196829184,0.0,4392.68566049531,2714.821424685148
11559754,1609389231,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000238202584417e+18,3.5227626464160394e+18,1.41,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000238194771902e+18,3.3810946773331795e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.695552963649,2623.316344341143,0.0,4392.695558683088,2578.9682523839288
11564754,1609455913,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000241545978548e+18,3.556625668602788e+18,1.39,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000241543076439e+18,3.3811442225384593e+22,0.0,732.0868622834124,1.0007250882869214,0.0775877813161467,0.9965916220330908,0.0,4392.698004213411,2623.3547853666682,0.0,4392.698006338007,2603.7589260440586
11569754,1609521163,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000247492155491e+18,3.743318464723379e+18,1.32,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000247468494412e+18,3.381192649741126e+22,0.0,740.8602553684436,1.0013693999975533,0.0819990876046579,0.9967480620726604,0.0,4445.344871782628,2772.5471229434797,0.0,4445.34488931218,2773.2758737003733
11574754,1609587416,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000261735097315e+18,3.6815519912860846e+18,1.34,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000261708295619e+18,3.3812928470354013e+22,0.0,731.5647205143837,1.0011164799035632,0.0796875655023703,1.009028837334749,0.0,4389.579779642443,2694.469952308297,0.0,4389.579799249618,2693.2935535643774
11579754,1609654252,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000279038036135e+18,3.3354591463771653e+18,1.48,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000278997002312e+18,3.381446399316805e+22,0.0,796.9125949178125,1.008217460229703,0.0778756327148246,0.9980429246294258,0.0,4781.697905731961,2633.3227783806165,0.0,4781.697938432332,2658.0694035817787
11584754,1609719885,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000313215686332e+18,3.77687748030709e+18,1.31,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000313193415909e+18,4.5477148907679796e+22,0.0,981.7569270371724,0.9996642920467034,0.0812124672537266,0.9808358623302594,0.0,5890.849042028606,3693.3114664577943,0.0,5890.849063892748,3707.9756288621875
11589754,1609786517,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000332869752287e+18,3.523012581304155e+18,1.41,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000332843054487e+18,4.547927989947619e+22,0.0,1016.5917177471346,1.001913454623027,0.0794844739379021,0.9973382575366884,0.0,6099.888671975308,3614.8966378844702,0.0,6099.888699116072,3581.4654116727575
11594754,1609852896,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000357897975226e+18,3.565741595323621e+18,1.39,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000357874226377e+18,4.548139633828111e+22,0.0,1035.052207625142,0.997716674170462,0.081221473889927,1.0017800802749532,0.0,6210.683664258916,3694.0660451671206,0.0,6210.683688840215,3690.7287100605095
11599754,1609919561,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000388338747431e+18,3.445027492525162e+18,1.44,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.00038825757942e+18,4.548351616211513e+22,0.0,1114.7443161403398,1.004223832614723,0.0841254970791181,1.002043645186955,0.0,6688.898704771896,3826.323406044037,0.0,6688.898795253474,3840.3248162396317
11604754,1609985387,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.000438940858403e+18,3.4632025685105326e+18,1.43,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000438919390513e+18,4.548466678743243e+22,0.0,1192.32906246037,1.0041880946728978,0.0926906417695263,1.0102960468932412,0.0,7154.497711107607,4216.00295520017,0.0,7154.497736704396,4129.2770716225095
11609754,1610052217,0x60F9c8582bA286EB076F700dBB1376371eF77599,6.00047178381009e+18,4.136658262976774e+18,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,6.000471751652034e+18,4.548583799170181e+22,0.0,1225.3458928356297,0.9953532612401752,0.1183644836812782,1.032475734455253,0.0,7352.6534159630355,5383.907728698053,0.0,7352.653455367778,5068.837212603161
11614754,1610117716,0x60F9c8582bA286EB076F700dBB1376371eF77599,4.0546368006087096e+18,2.2551489705155167e+18,1.48,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,4.054636766628174e+18,2.2743171915952022e+22,0.0,1249.2847224572106,1.0058103178560476,0.1230694633584082,1.0082694306386124,0.0,5065.39576766188,2798.9899627642358,0.0,5065.395810113244,2817.3231557301415
11619754,1610184355,0x60F9c8582bA286EB076F700dBB1376371eF77599,4.054659001499579e+18,2.1669907821389033e+18,1.54,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,4.0546589449246495e+18,2.274339562109193e+22,0.0,1214.8842943997638,1.004729634239786,0.1159655092675029,1.0039954015803647,0.0,4925.941471336474,2637.449455672221,0.0,4925.9415400684675,2632.6430673296136
11624754,1610251083,0x60F9c8582bA286EB076F700dBB1376371eF77599,4.054686250523576e+18,2.0487453105642757e+18,1.63,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,4.0546861942865434e+18,2.2743619836409415e+22,0.0,1316.3936213692157,1.0023653000348405,0.1194858863898086,0.9834700508328752,0.0,5337.563042812626,2717.541575866213,0.0,5337.563116842696,2696.9552586369055
11629754,1610316696,0x60F9c8582bA286EB076F700dBB1376371eF77599,4.054721548488084e+18,1.8461669214632911e+18,1.81,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,4.054721473970455e+18,2.274384014107762e+22,0.0,1284.514066622886,1.0065836244588846,0.1061427444302249,0.994286692945609,0.0,5208.346769552932,2414.093611456292,0.0,5208.346865271875,2371.4273799534662
