block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDC_collateral,UST_debt,WETH_USD_price,USDC_USD_price,UST_USD_price,USDC_collateral (in USD),UST_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
14743752,1652118487,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,6.031218878206377e+19,4.2784803e+19,1.24,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,140000001941.0,0.0,2329.694417694127,1.002430880483639,0.9734631676652108,140340.3252134278,0.0,140508.96952448832,99675.51671124295
14748752,1652188329,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,3.740166119607928e+20,2.2367516434329934e+20,1.47,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,914285414799.0,590544969545.0,2435.495057317522,0.9988180745276652,0.9223990406842546,913204.797578265,544718.1133892203,910915.6097851566,544759.75720279
14753752,1652256995,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,3.942313545907167e+20,1.014301889453235e+20,3.42,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,914317313893.0,591324995460.0,2284.0244118968185,1.0031959846919714,0.4765917393560112,917239.4580318064,281820.6081109668,900434.0378203478,231669.0276544257
14758752,1652325829,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,5.755893299742154e+20,2.783210253589877e+20,1.82,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1166332326371.0,842516816489.0,2053.705678116592,1.003646591636298,0.7067952021136683,1170585.4640774883,595486.8435945072,1182091.0752313707,571589.470118985
14763752,1652395140,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,6.122025093947662e+20,1.9221807740650062e+20,2.8,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1166395620289.0,843975047812.0,1912.8292549849407,1.0027615059726287,0.5755136948391003,1169616.628760876,485719.19811829046,1171038.869945502,367680.3618001142
14768752,1652463549,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.536711621250988e+17,6.90452331057216e+18,0.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316641579.0,105379933114.0,2070.76013954116,1.0037904232952544,0.1129853506099539,317.8417846172877,11906.388690138781,318.21611712562185,14297.611654065597
14773752,1652533344,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.604334719580055e+17,8.30681344208091e+18,0.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316657592.0,105563277748.0,1987.294018962664,1.0017370539992876,0.1562614154553519,317.2076433365884,16495.46720100893,318.8284792635586,16508.080670086052
14778752,1652601321,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.5541722069897184e+17,9.670915539349934e+18,0.01,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316672489.0,105741782708.0,2043.093198896948,1.004226064817998,0.1803960107546272,318.01076746459074,19075.39577060582,317.53186660153534,19758.581765552663
14783752,1652669476,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.512404628026184e+17,7.94058493207518e+18,0.02,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316687722.0,105916474336.0,2085.76437136986,1.0038547863091296,0.1573847857444737,317.90848549503505,16669.641620181406,315.45196882319004,16562.18913915877
14788752,1652738759,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.5606731701081738e+17,4.746771942184178e+18,0.03,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316703142.0,106099235420.0,2043.7661846963483,1.0030261660415354,0.0906508018636211,317.66153829356796,9617.98076794011,318.96510504299374,9701.291981901431
14793752,1652807102,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.543294386449725e+17,4.784494764810776e+18,0.03,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316717863.0,106281518071.0,2062.728599764724,1.0011075189245395,0.0917110364143556,317.06863402701225,9747.188173982473,318.33974687862,9869.114186799783
14798752,1652875730,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,1.5605757447437635e+17,5.05216839498631e+18,0.03,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316729841.0,106464055553.0,2030.382988131307,1.0019670814898394,0.0957020512918808,317.3528744075109,10188.828505274852,316.8566443818082,10257.836762354853
14803311,1652939430,0x5e932E419a8ed1Bd8d1b09AeF786d7bb2b9f9a09,0.0,4.691837951024537e+18,0.0,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,316740172.0,106634367395.0,1945.928732168113,1.000855812228232,0.0881452583255586,317.01124211236987,9399.313860414797,0.0,9129.982275575414
