block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WETH_collateral,LINK_collateral,USDC_debt,GUSD_debt,WETH_USD_price,USDT_USD_price,LINK_USD_price,USDC_USD_price,GUSD_USD_price,USDT_debt (in USD),WETH_collateral (in USD),LINK_collateral (in USD),USDC_debt (in USD),GUSD_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11947478,1614537604,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.0879920186553635e+18,7.470174074755e+17,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,6.14437245506229e+19,0.0,0.0,1335.519550882382,1.0047790581905371,23.985866145529748,1.0064746921765857,1.0039604750276925,0.0,0.0,1473.7809525540408,0.0,0.0,1453.0346121182272,997.6563525330012
11952478,1614603748,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.869627435405468e+18,1.254264634552695e+18,1.17,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1000689118.0,8.000030936268364e+17,6.144374189203748e+19,911611531.0,0.0,1541.6667424242669,1.0031481189268403,26.59847063412008,0.9963958395885838,1.02029693686162,1003.839406352259,1233.3381632810206,1634.3095643658125,908.3259368093793,0.0,2882.342437888584,1933.658073288817
11957478,1614670225,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.9395533862592312e+18,1.2403797933099052e+18,1.22,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1000896579.0,8.000066189011885e+17,6.14437784555706e+19,911695338.0,0.0,1541.3179598811248,0.9983290179767456,28.81419270362008,1.0011009454745483,1.0041783612930646,999.2240988093541,1233.0645697361763,1770.4528728573512,912.6990648565379,0.0,2989.4684683896053,1911.8196525021945
11962478,1614736591,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.963372296148965e+18,1.2685495468752e+18,1.21,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1000982984.0,8.000109388344685e+17,6.1443795998189175e+19,911791919.0,0.0,1521.7860040956152,1.0046221513099527,28.85147246793838,1.0055771695150666,1.0059218722748688,1005.609678810736,1217.4454498416874,1772.7439885673773,916.8771370947309,0.0,2987.8324811085663,1930.4609459365138
11967478,1614803536,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.9740533011727347e+18,1.1958388340466947e+18,1.29,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1001307910.0,8.000145428120955e+17,6.144380592148993e+19,912025352.0,0.0,1610.144259857842,0.999336661615354,30.666485255990683,1.0027471135514536,1.0054275598763014,1000.6437040284472,1288.1388239116914,1884.2655683633238,914.5307892037484,0.0,3178.5105915367026,1925.4730343553797
11972478,1614870130,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.9417091543065825e+18,1.210316804034609e+18,1.25,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1001657378.0,8.000185482516412e+17,6.144384803081308e+19,912211568.0,0.0,1580.0675600100426,0.992439806954906,29.27727901265005,0.9967803716280856,1.0023343733012913,994.0846548572773,1264.0833554987473,1798.908682408983,909.2745857544787,0.0,3068.031645694365,1912.3823193901173
11977478,1614936492,0x2e9b1763686A1657814991e9395b9d298E9Ec321,1.9025187875543027e+18,1.3147969800084708e+18,1.13,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1001748987.0,8.000220192620334e+17,6.1443880211634315e+19,912287539.0,0.0,1463.0020545286748,0.999184728977712,26.06533160259584,1.0023329956745397,0.9895984483638992,1000.9322900792927,1170.433857848534,1601.5551126664252,914.4159018824236,0.0,2783.3888949713482,1923.5506830404897
11982478,1615002322,0x2e9b1763686A1657814991e9395b9d298E9Ec321,2.2448156976392558e+18,1.247026782834493e+18,1.4,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1001822758.0,8.000249077279942e+17,8.06215386819134e+19,912359652.0,0.0,1534.314909265208,1.002263967271997,27.43726930694147,1.0048179469084448,1.0006978593335565,1004.0908519364539,1227.4901437105839,2212.0348687556566,916.7553523647432,0.0,3444.254193440489,1913.3317851559893
11987478,1615068258,0x2e9b1763686A1657814991e9395b9d298E9Ec321,2.17073183186332e+18,1.1609175282459397e+18,1.45,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1001901481.0,8.000273429055319e+17,8.062156590230064e+19,912432604.0,0.0,1643.3104308875843,1.0025069284409738,27.984768979080474,1.0025147522770237,1.0014535968397358,1004.4131763177726,1314.6932775919388,2256.175896507595,914.7271459685396,0.0,3567.1862619607077,1907.7478835667844
11992478,1615135306,0x2e9b1763686A1657814991e9395b9d298E9Ec321,2.1612494893508925e+18,1.14959383108e+18,1.46,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1002293357.0,8.000289284331223e+17,8.062206297141777e+19,912934313.0,0.0,1657.6271102086905,1.0018973106602638,28.23179135788676,1.0011600697561516,1.0130278389466525,1004.1950188709477,1326.1496407219518,2276.1052606514745,913.9933804858642,0.0,3582.545745472728,1905.597900126878
