block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,UNI_debt,DAI_collateral,WETH_USD_price,UNI_USD_price,DAI_USD_price,UNI_debt (in USD),DAI_collateral (in USD),totalCollateral (in USD),totalDebt (in USD)
11393068,1607177214,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.413436683239022e+19,1.5418275e+19,1.77,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,1.9926648247449784e+22,732.0868622834124,5.13531924466076,1.0026058594748208,0.0,19978.57429258682,24989.32151035554,11287.51656657278
11398068,1607243359,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.3502864332256453e+19,2.034201798084389e+19,1.32,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.300063009680947e+21,1.992952304298704e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16946.877082207673,19981.45657943727,24527.006826508477,14892.124116108758
11403068,1607310148,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.368783815057343e+19,1.9976815614885487e+19,1.35,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.30012008050689e+21,1.9933274488617193e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16947.170159118446,19985.21780080756,24662.423728764734,14624.764261915792
11408068,1607376334,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.4162893467700978e+19,2.0840662809259995e+19,1.31,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.3001840244205625e+21,1.9938127616147414e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16947.49853152891,19990.083574906137,25010.20548529169,15257.175443937758
11413068,1607442936,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.462547868635285e+19,2.0065449654652637e+19,1.38,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.300238290164753e+21,1.994554385016742e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16947.777203449376,19997.51913458983,25348.85804655323,14689.652077980432
11418068,1607508964,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.6579641071471624e+19,1.93529092124293e+19,1.51,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.3002913520981723e+21,1.9947764756184287e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16948.049693417226,19999.745827975687,26779.474655467107,14168.010581383112
11423068,1607574523,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.5295833341445226e+19,1.9353236054914384e+19,1.46,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.30034714638918e+21,1.995103360170938e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16948.336214913576,20003.023191652865,25839.615882616887,14168.249858472478
11428068,1607641907,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.5363313653878256e+19,1.8982305827834212e+19,1.49,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.300409462261725e+21,1.9953119809376707e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16948.656226813106,20005.114835684206,25889.01733281189,13896.696712403284
11433068,1607709270,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.6481586264590823e+19,1.7939148044234158e+19,1.63,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.300446484879343e+21,1.9955699731164777e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16948.84634977385,20007.701480385913,26707.690019565933,13133.014603741
11438068,1607775596,0x4cBA0E5365B79bDDb9681bA81B279742675d3f6a,3.5867429463046128e+19,1.8599897993172763e+19,1.54,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,3.300481629607997e+21,1.995750763652948e+22,732.0868622834124,5.13531924466076,1.0026058594748208,16949.026829175255,20009.514096897936,26258.07389377306,13616.740960613388
