block,timestamp,user,totalCollateral,totalDebt,healthFactor,tokenAddress,USDT_debt,WBTC_collateral,WETH_collateral,UNI_collateral,AAVE_collateral,BUSD_debt,DAI_debt,sUSD_debt,TUSD_debt,USDC_debt,GUSD_debt,WETH_USD_price,USDT_USD_price,WBTC_USD_price,UNI_USD_price,AAVE_USD_price,BUSD_USD_price,DAI_USD_price,sUSD_USD_price,TUSD_USD_price,USDC_USD_price,GUSD_USD_price,USDT_debt (in USD),WBTC_collateral (in USD),WETH_collateral (in USD),UNI_collateral (in USD),AAVE_collateral (in USD),BUSD_debt (in USD),DAI_debt (in USD),sUSD_debt (in USD),TUSD_debt (in USD),USDC_debt (in USD),GUSD_debt (in USD),totalCollateral (in USD),totalDebt (in USD)
11458095,1608041120,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.710000656432522e+18,1.8644804472387686e+18,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,0.0,0.0,2.710000650527022e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,0.0,0.0,1983.955873030334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.955877353673,1364.9616404078035
11463095,1608108145,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.7100043013508214e+18,1.86479063479627e+18,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1091203293.0,0.0,2.710004292820397e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1091.9945117264044,0.0,1983.9585395054623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.958545750474,1365.1887246434942
11468095,1608174111,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.7100109358382013e+18,1.6838490787136916e+18,1.33,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1091647595.0,0.0,2.710010926354654e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1092.4391358845803,0.0,1983.9633958287427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983.9634027715229,1232.7237885943214
11473095,1608240626,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,9.455186808821432e+18,3.319545621990154e+18,2.18,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1092710649.0,8457655.0,4.543315013186919e+18,0.0,1.4546621948590514e+19,0.0,1.0001570247693599e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1093.5029606925843,2435.4432319927755,3326.101232369132,0.0,1284.848352164275,0.0,1002.7632934286637,0.0,0.0,0.0,0.0,6922.0180431735935,2430.1957386094105
11478095,1608306718,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411635418858017e+18,6.179848753098682e+18,1.12,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1093233799.0,0.0,8.411635397572713e+18,0.0,0.0,0.0,2.8342950867366844e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1094.0264900225216,0.0,6158.047764881092,0.0,0.0,0.0,2841.6808614428955,0.0,0.0,0.0,0.0,6158.047780463783,4524.186083042074
11483095,1608373325,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411655343282813e+18,6.032358646684401e+18,1.15,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1093353538.0,0.0,8.411655308771982e+18,0.0,0.0,0.0,2.8346789377401385e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1094.146315843868,0.0,6158.062341608489,0.0,0.0,0.0,2842.065712708124,0.0,0.0,0.0,0.0,6158.062366873415,4416.210513819395
11488095,1608439273,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411670499509757e+18,6.082499743749874e+18,1.14,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1093845222.0,0.0,8.411670478151498e+18,0.0,0.0,0.0,2.835395490665204e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1094.6383563581771,0.0,6158.073446911942,0.0,0.0,0.0,2842.784132869418,0.0,0.0,0.0,0.0,6158.073462548043,4452.918152241505
11493095,1608505416,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411685827998698e+18,6.185744944998175e+18,1.12,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1094311164.0,0.0,8.411685802638686e+18,0.0,0.0,0.0,2.8364083651395495e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1095.1046362072636,0.0,6158.084665767684,0.0,0.0,0.0,2843.7996467523094,0.0,0.0,0.0,0.0,6158.084684333416,4528.502607669193
11498095,1608571339,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411715831617336e+18,6.443439885762594e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1094831342.0,0.0,8.41171579388383e+18,0.0,0.0,0.0,2.8371738736870666e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1095.6251913822387,0.0,6158.106621964237,0.0,0.0,0.0,2844.567150107528,0.0,0.0,0.0,0.0,6158.106649588441,4717.157688279726
11503095,1608637694,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411740223957073e+18,6.484582610130763e+18,1.07,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1094951107.0,0.0,8.411740179401204e+18,0.0,0.0,0.0,2.837671345151786e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1095.7450432224375,0.0,6158.124474281136,0.0,0.0,0.0,2845.0659179129775,0.0,0.0,0.0,0.0,6158.124506899902,4747.277736268211
11508095,1608703833,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,8.411752908287409e+18,6.41608440694363e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1095030827.0,0.0,8.411752884413182e+18,0.0,0.0,0.0,2.8384247956611924e+21,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1095.8248210264755,0.0,6158.133775453491,0.0,0.0,0.0,2845.8213318085327,0.0,0.0,0.0,0.0,6158.133792931499,4697.131101624891
11513095,1608770106,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.3084735564903834e+18,1.9053376104603e+18,1.0,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1095361438.0,0.0,2.3084735466101094e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1096.1556717486392,0.0,1690.0031554020559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0031626352745,1394.8726328324558
11518095,1608836596,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.308485483989758e+18,1.8442746422242964e+18,1.03,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1095979261.0,0.0,2.308485474795636e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1096.7739427248598,0.0,1690.011887869971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0118946008668,1350.1692360148481
11523095,1608903503,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.3084892885693066e+18,1.741997005312837e+18,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1097211359.0,0.0,2.3084892811598833e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1098.0069341046878,0.0,1690.0146744592291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0146798835706,1275.2931217265757
11528095,1608969697,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.308491999729801e+18,1.74765725530916e+18,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1097729964.0,0.0,2.3084919933601475e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1098.5259151390992,0.0,1690.0166600254106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0166646885502,1279.4369163861234
11533095,1609035576,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.3084976465431086e+18,1.71176690348e+18,1.11,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1098693005.0,0.0,2.308497635857842e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1099.489654428848,0.0,1690.020790823843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0207986463863,1253.1620613292662
11538095,1609102030,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,2.3085031510539146e+18,1.587345260524e+18,1.2,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1099266306.0,0.0,2.30850314110048e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1100.063371122688,0.0,1690.0248211396522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0248284264308,1162.074611137461
11543095,1609167198,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,4.1418090024293955e+18,3.147440716530496e+18,1.09,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1100064882.0,0.0,4.141808992422875e+18,0.0,0.0,0.0,0.0,0.0,1.2002696516198431e+21,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1100.8625261607917,0.0,3032.1639494400843,0.0,0.0,0.0,0.0,0.0,1200.4546358235652,0.0,0.0,3032.1639567657267,2304.199998387866
11548095,1609234012,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,7.275206804205634e+18,5.671407180644326e+18,1.06,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1100756181.0,0.0,7.275206791842424e+18,0.0,0.0,0.0,1.7330465113870966e+21,0.0,1.2022311207262882e+21,0.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1101.5543264135995,0.0,5326.083312702891,0.0,0.0,0.0,1737.5625870591,0.0,1202.4164072294147,0.0,0.0,5326.083321753835,4151.962687609519
11553095,1609301395,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,1.000852260186249e+19,7.661192325955978e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1101068332.0,0.0,1.0008522585188942e+19,0.0,0.0,0.0,1.7331760340107977e+21,0.0,1.2031256414008805e+21,1583178622.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1101.8667037506334,0.0,7327.107895483639,0.0,0.0,0.0,1737.6924472005571,0.0,1203.3110657665234,1584.6268061930984,0.0,7327.107907690125,5608.65825125887
11558095,1609366807,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,1.0008546352095865e+19,7.512885408388702e+18,1.1,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1101441595.0,0.0,1.0008546336114223e+19,0.0,0.0,0.0,1.7341473513827147e+21,0.0,1.2044774044335197e+21,1583355025.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1102.2402373992625,0.0,7327.125283224005,0.0,0.0,0.0,1738.666295689051,0.0,1204.6630371313552,1584.803370554573,0.0,7327.125294923955,5500.084705322119
11563095,1609433099,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,1.0008552959544132e+19,7.677572054324696e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1101532508.0,0.0,1.0008552950694855e+19,0.0,0.0,0.0,1.7347057475152168e+21,0.0,1.2064580396007739e+21,1583533893.0,0.0,732.0868622834124,1.0007250882869214,28795.726853279964,5.13531924466076,88.32623523901846,1.0009185449945597,1.0026058594748208,1.0148723023854171,1.000154118871099,1.000914732028954,0.9965916220330908,1102.331216319214,0.0,7327.130125671585,0.0,0.0,0.0,1739.2261469234054,0.0,1206.6439775518654,1584.9824021708614,0.0,7327.130132150024,5620.64963520538
11568095,1609500130,0x801611b066F7ab67fa1BAdB4c647bF0528A1432C,1.000856153015702e+19,7.662732422823524e+18,1.08,0x5f98805A4E8be255a32880FDeC7F6728C6568bA0,1101768162.0,0.0,1.0008561520245344e+19,0.0,0.0,0.0,1.7350098390571022e+21,0.0,1.208459442624632e+21,1583714683.0,0.0,739.3505032194572,1.0013605938759786,29352.573702301004,5.042110822864132,88.14261519948347,0.9994129391623638,1.0056349402531504,1.0489742216782685,0.9995009984153834,0.9992442929398566,0.9970932876452732,1103.2672210139656,0.0,7399.834996496291,0.0,0.0,0.0,1744.786515838817,0.0,1207.8564194478174,1582.517858632804,0.0,7399.835003824493,5665.445072850624
